ftb,Freq
0,107116
1,30115
2,16481
3,10944
4,7921
5,5659
6,4673
7,3780
8,3034
9,2431
10,2190
11,1854
12,1666
13,1490
14,1361
15,1280
16,1097
17,1051
18,992
19,927
20,850
21,810
22,733
23,715
24,659
25,723
26,655
27,608
28,584
29,583
30,506
31,498
32,547
33,492
34,475
35,474
36,475
37,481
38,470
39,463
40,478
41,432
42,497
43,430
44,435
45,439
46,493
47,467
48,478
49,440
50,473
51,425
52,468
53,464
54,453
55,500
56,476
57,507
58,500
59,493
60,518
61,581
62,518
63,564
64,605
65,595
66,641
67,640
68,681
69,631
70,647
71,677
72,662
73,728
74,776
75,781
76,788
77,821
78,857
79,875
80,890
81,880
82,947
83,1031
84,1043
85,1026
86,1148
87,1152
88,1157
89,1172
90,1204
91,1212
92,1240
93,1306
94,1221
95,1180
96,1093
97,1047
98,964
99,869
100,723
101,541
102,287
