ftb,Freq
0,17330
1,4949
2,3911
3,2698
4,2193
5,1865
6,1728
7,1536
8,1359
9,1109
10,1163
11,1053
12,1049
13,824
14,824
15,827
16,891
17,772
18,754
19,759
20,750
21,687
22,690
23,642
24,609
25,615
26,641
27,565
28,576
29,524
30,529
31,587
32,564
33,562
34,555
35,558
36,572
37,557
38,565
39,549
40,538
41,559
42,538
43,563
44,569
45,577
46,610
47,622
48,631
49,634
50,672
51,665
52,700
53,739
54,720
55,814
56,792
57,827
58,890
59,809
60,897
61,974
62,957
63,988
64,1069
65,1141
66,1190
67,1302
68,1366
69,1433
70,1441
71,1580
72,1775
73,1781
74,2146
75,2210
76,2335
77,2449
78,2869
79,3096
80,3541
81,3810
82,4262
83,4858
84,5610
85,6308
86,7048
87,8420
88,10057
89,12017
90,14012
91,16893
92,20027
93,24776
94,29616
95,35834
96,42531
97,50080
98,55900
99,58980
100,55542
101,43105
102,22472
