ftb,Freq
0,37743
1,9942
2,6151
3,4231
4,3347
5,2660
6,2213
7,2038
8,1739
9,1484
10,1295
11,1211
12,1202
13,1146
14,1000
15,973
16,984
17,852
18,821
19,831
20,789
21,754
22,813
23,834
24,807
25,820
26,802
27,768
28,718
29,753
30,770
31,725
32,817
33,738
34,830
35,824
36,790
37,897
38,892
39,982
40,988
41,1034
42,1039
43,1081
44,1192
45,1248
46,1264
47,1334
48,1480
49,1562
50,1678
51,1762
52,1923
53,2053
54,2170
55,2365
56,2528
57,2747
58,2990
59,3191
60,3402
61,3709
62,3871
63,4180
64,4405
65,4897
66,5036
67,5663
68,6000
69,6406
70,6920
71,7351
72,7824
73,8435
74,9019
75,9615
76,10343
77,11185
78,11789
79,12745
80,13588
81,14785
82,15454
83,16598
84,17500
85,18390
86,19542
87,20707
88,21692
89,22248
90,23468
91,23801
92,24070
93,24163
94,23843
95,23283
96,21922
97,19767
98,17332
99,14025
100,10285
101,6385
102,2706
