ftb,Freq
0,95
1,32
2,53
3,59
4,48
5,62
6,62
7,48
8,53
9,63
10,55
11,55
12,54
13,53
14,53
15,60
16,56
17,52
18,53
19,49
20,61
21,68
22,57
23,54
24,63
25,65
26,62
27,64
28,57
29,61
30,87
31,84
32,96
33,100
34,110
35,109
36,128
37,129
38,144
39,154
40,156
41,221
42,213
43,239
44,253
45,301
46,336
47,345
48,409
49,468
50,514
51,605
52,664
53,739
54,818
55,855
56,1027
57,1127
58,1211
59,1299
60,1458
61,1574
62,1740
63,1919
64,2137
65,2351
66,2553
67,2814
68,3144
69,3370
70,3678
71,4109
72,4512
73,4858
74,5376
75,5892
76,6552
77,7144
78,7780
79,8715
80,9404
81,10215
82,10965
83,11729
84,12847
85,13390
86,13954
87,14895
88,15257
89,15714
90,16118
91,16035
92,16116
93,16121
94,15741
95,15307
96,14436
97,13130
98,11365
99,9140
100,6562
101,3787
102,1427
