ftb,Freq
0,675114
1,69934
2,16114
3,6382
4,3717
5,2297
6,1762
7,1362
8,1015
9,927
10,730
11,657
12,607
13,494
14,434
15,404
16,361
17,305
18,293
19,265
20,255
21,210
22,209
23,164
24,176
25,139
26,129
27,124
28,109
29,76
30,85
31,76
32,75
33,70
34,58
35,57
36,52
37,44
38,32
39,43
40,37
41,24
42,23
43,24
44,26
45,13
46,17
47,15
48,20
49,15
50,10
51,17
52,11
53,7
54,9
55,5
56,6
57,3
58,5
59,4
60,5
61,3
62,4
63,2
64,5
65,3
66,1
67,2
68,2
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
