ftb,Freq
0,499927
1,64989
2,16530
3,7564
4,4774
5,3708
6,2753
7,2284
8,1965
9,1730
10,1462
11,1372
12,1167
13,1071
14,997
15,865
16,859
17,754
18,726
19,658
20,667
21,557
22,499
23,429
24,412
25,384
26,373
27,325
28,307
29,272
30,230
31,222
32,202
33,163
34,165
35,119
36,136
37,130
38,101
39,123
40,82
41,86
42,80
43,71
44,52
45,39
46,63
47,38
48,31
49,42
50,35
51,18
52,23
53,26
54,21
55,20
56,14
57,15
58,18
59,7
60,11
61,10
62,10
63,9
64,8
65,5
66,3
67,4
68,3
69,0
70,5
71,3
72,3
73,0
74,0
75,1
76,2
77,0
78,2
79,2
80,0
81,1
82,2
83,1
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
