ftb,Freq
0,43801
1,11455
2,8826
3,4990
4,4055
5,2919
6,2587
7,2124
8,1876
9,1617
10,1508
11,1224
12,1105
13,995
14,987
15,818
16,789
17,722
18,767
19,667
20,649
21,613
22,630
23,534
24,522
25,490
26,481
27,476
28,468
29,496
30,420
31,486
32,398
33,441
34,387
35,428
36,403
37,413
38,441
39,479
40,434
41,415
42,443
43,414
44,451
45,491
46,510
47,455
48,468
49,459
50,487
51,457
52,499
53,466
54,546
55,515
56,486
57,528
58,537
59,534
60,549
61,589
62,604
63,614
64,644
65,629
66,683
67,720
68,719
69,714
70,752
71,802
72,848
73,927
74,907
75,1049
76,1107
77,1157
78,1140
79,1216
80,1244
81,1324
82,1370
83,1496
84,1644
85,1761
86,1877
87,2163
88,2317
89,2489
90,2736
91,3044
92,3263
93,3605
94,4095
95,4466
96,5030
97,5481
98,6133
99,6549
100,6831
101,6499
102,4953
