ftb,Freq
0,206792
1,50617
2,37047
3,22408
4,19053
5,14567
6,12921
7,10709
8,9893
9,8496
10,7987
11,6796
12,6425
13,5774
14,5370
15,5003
16,4828
17,4619
18,4335
19,4084
20,4085
21,3763
22,3616
23,3411
24,3234
25,3151
26,3129
27,3023
28,2880
29,2931
30,2768
31,2792
32,2623
33,2691
34,2545
35,2729
36,2625
37,2710
38,2620
39,2684
40,2577
41,2679
42,2558
43,2566
44,2581
45,2640
46,2764
47,2624
48,2726
49,2724
50,2638
51,2725
52,2797
53,2777
54,2842
55,2867
56,2893
57,3015
58,3005
59,3121
60,3111
61,3212
62,3325
63,3453
64,3542
65,3669
66,3747
67,3895
68,3882
69,4086
70,4259
71,4322
72,4682
73,4899
74,5021
75,5279
76,5667
77,5893
78,6088
79,6444
80,6568
81,7136
82,7490
83,8103
84,8811
85,9378
86,10220
87,11226
88,12358
89,13522
90,15145
91,16716
92,18777
93,21393
94,24432
95,27837
96,32313
97,37631
98,43529
99,49955
100,56666
101,60003
102,51158
