ftb,Freq
0,396894
1,90453
2,50446
3,30349
4,21876
5,15772
6,12843
7,9661
8,8001
9,6810
10,5675
11,4973
12,4386
13,3902
14,3486
15,2952
16,2845
17,2719
18,2463
19,2276
20,2071
21,2032
22,1919
23,1782
24,1585
25,1636
26,1566
27,1497
28,1396
29,1340
30,1292
31,1222
32,1248
33,1209
34,1092
35,1183
36,1201
37,1176
38,1032
39,1137
40,1094
41,1100
42,1012
43,1099
44,1126
45,1037
46,1047
47,1013
48,1043
49,1058
50,1044
51,1072
52,1095
53,1129
54,1057
55,1099
56,1110
57,1208
58,1227
59,1242
60,1272
61,1340
62,1389
63,1428
64,1474
65,1562
66,1514
67,1632
68,1759
69,1770
70,1884
71,1950
72,2061
73,2167
74,2303
75,2423
76,2542
77,2648
78,2750
79,2809
80,3101
81,3188
82,3330
83,3380
84,3600
85,3640
86,4051
87,4125
88,4396
89,4473
90,4676
91,4864
92,4935
93,4941
94,4932
95,4728
96,4533
97,4190
98,3853
99,3280
100,2627
101,1930
102,1012
