ftb,Freq
0,105842
1,27657
2,16065
3,9909
4,7165
5,5171
6,4313
7,3130
8,2560
9,2245
10,1779
11,1587
12,1391
13,1179
14,1108
15,974
16,891
17,896
18,833
19,715
20,648
21,649
22,604
23,568
24,505
25,551
26,541
27,481
28,479
29,470
30,465
31,435
32,421
33,424
34,378
35,410
36,395
37,423
38,350
39,377
40,403
41,395
42,379
43,425
44,385
45,361
46,371
47,354
48,356
49,380
50,331
51,320
52,340
53,372
54,354
55,379
56,340
57,370
58,374
59,366
60,393
61,393
62,450
63,435
64,435
65,459
66,413
67,460
68,519
69,496
70,527
71,554
72,518
73,592
74,584
75,604
76,642
77,687
78,666
79,699
80,724
81,728
82,732
83,755
84,793
85,800
86,876
87,853
88,928
89,977
90,938
91,961
92,967
93,1002
94,971
95,937
96,908
97,854
98,819
99,748
100,624
101,522
102,308
