ftb,Freq
0,244352
1,11971
2,2310
3,1024
4,634
5,401
6,288
7,232
8,165
9,185
10,133
11,149
12,119
13,116
14,84
15,76
16,74
17,70
18,50
19,55
20,53
21,49
22,49
23,31
24,36
25,30
26,25
27,14
28,18
29,17
30,14
31,20
32,14
33,13
34,9
35,7
36,13
37,7
38,6
39,4
40,6
41,8
42,3
43,5
44,5
45,4
46,7
47,3
48,0
49,2
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,2
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,2
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
