trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,pretty_name
asiavg,0.333459,0.006621,0.017786,0,0,0.718579, 0.733045,Anthesis-silking interval
dtaavg,0,0.132668,0.114216,0,0.090679,0.675449, 0.797340,NA
dtsavg,0.000475,0.017189,0,0,0,0.906793, 0.838004,NA
ehtavg,0.100928,0,0,0.1074,0,0.788149, 0.813762,Ear height
ehtdivphtavg,0,0,0,0.015562,0,0.755926, 0.712025,Ratio of ear height to total height
Kwt_5loc_residuals,0,0.00634,0,0,0.199315,0.663545, 0.630287,100 Kernel weight
nlb_residuals,0.005133,0,0,0,0.016531,0.891511, 0.775560,Northern Leaf Blight
nphavg,0,0,0.042104,0,0.203454,0.813305, 0.772444,Nodes per plant
nteavg,0.014737,0,0,0,0.032962,0.79736, 0.736545,Nodes to ear
nttavg,0.118576,0,0,0.025069,0,1.12542, 0.639305,Nodes above ear
phtavg,0,0,0,0,0.128363,0.834897, 0.797476,Plant height
phtdivdtravg,0,0.01162,0,0.004965,0.330853,0.866905, 0.731237,Height per day (until flowering)
phtdivnphavg,0.142657,0,0,0.070379,0.075992,0.893949, 0.688595,Average internode length (whole plant)
ppgddta_pop,0.848138,0,0,0,0,9.959428,-10.455807,Photoperiod growing-degree days to anthesis
ppgddts_pop,0.123719,0,0,0,0.149293,0.908556, 0.463443,Photoperiod Growing-degree days to silk
Residual_leaf_length_noIBM,0,0,0,0.002263,0.372294,0.913657, 0.750965,Leaf length
Residual_leaf_width_noIBM,0.016139,0,0,0.013385,0,0.847652, 0.791120,Leaf width
residuals_distancebased_for_d2a,0.004031,0,0,0,0,0.898623, 0.852895,Days to anthesis
residuals_distancebased_for_d2s,0.041649,0,0,0.022137,0,0.819265, 0.796179,Days to silk
residuals_distancebased_for_slbv2,0,0.111361,0,0,0,0.725934, 0.686006,Southern leaf blight
rpravg,0.161445,0.001224,0,0,0,0.181087, 0.041989,Stalk strength
sf_residuals_nopop,0,0,0,0.138824,0,1.21287, 0.683242,Cob diameter
so_residuals_nopop,0,0,0,0,0,0.941794, 0.773579,Ear row number
tassel_branches,0.035796,0,0,0.048451,0,0.812309, 0.836815,Tassel branch number
tassel_length,0,0.014018,0,0,0.254538,0.899621, 0.775083,Tassel length
thtavg,0,0,0,0,0.284189,0.798456, 0.687796,Height above ear
thtdivnttavg,0,0,0,0,0.495486,0.828968, 0.635841,Average internode length (above ear)
