mn,sd,med,type,par,ne
2.02775683862957,0.000682017778906537,2.02774143302422,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
7.04469140960495,0.000904484225184253,7.04470588537871,nu,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
5.74831585879623,0.000146912768679841,5.74830276946816,mu,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02782718372857,0.000625241654882503,2.02783733885309,s,cache/mcmc_revise/new_msfs_CG_pops_1e+06_ne.RData,1e+06
8.04476563487266,0.00089497065038709,8.04476020319867,nu,cache/mcmc_revise/new_msfs_CG_pops_1e+06_ne.RData,1e+06
6.74830753391665,0.000130475395639456,6.74831562046951,mu,cache/mcmc_revise/new_msfs_CG_pops_1e+06_ne.RData,1e+06
2.02769654867324,0.000774294721488761,2.0276179614305,s,cache/mcmc_revise/new_msfs_CG_pops_50000_ne.RData,50000
6.74354996834942,0.000966966709351169,6.74351861876032,nu,cache/mcmc_revise/new_msfs_CG_pops_50000_ne.RData,50000
5.44728059734816,0.000155399184602492,5.4472796241131,mu,cache/mcmc_revise/new_msfs_CG_pops_50000_ne.RData,50000
2.02765150446713,0.000675436743296079,2.02765961891909,s,cache/mcmc_revise/new_msfs_CG_pops_5e+05_ne.RData,5e+05
7.74356504294414,0.000935495504769484,7.74353281466666,nu,cache/mcmc_revise/new_msfs_CG_pops_5e+05_ne.RData,5e+05
6.44729474260305,0.000132788315568804,6.44729911544674,mu,cache/mcmc_revise/new_msfs_CG_pops_5e+05_ne.RData,5e+05
2.21063496954507,0.000630931347583634,2.21062776238019,s,cache/mcmc_revise/new_msfs_CHG_pops_1e+05_ne.RData,1e+05
6.8255432834457,0.000623920236753054,6.82550794707325,nu,cache/mcmc_revise/new_msfs_CHG_pops_1e+05_ne.RData,1e+05
5.42113187097415,0.000133016828394366,5.42113670358547,mu,cache/mcmc_revise/new_msfs_CHG_pops_1e+05_ne.RData,1e+05
2.21085948465999,0.000663575624034675,2.21089039188592,s,cache/mcmc_revise/new_msfs_CHG_pops_1e+06_ne.RData,1e+06
7.82570022064287,0.000637327031941537,7.82572695058945,nu,cache/mcmc_revise/new_msfs_CHG_pops_1e+06_ne.RData,1e+06
6.42109654558327,0.000138674310014279,6.42109151588223,mu,cache/mcmc_revise/new_msfs_CHG_pops_1e+06_ne.RData,1e+06
2.21079945054707,0.000671503232755941,2.21074412250956,s,cache/mcmc_revise/new_msfs_CHG_pops_50000_ne.RData,50000
6.52460036737099,0.000645746665392254,6.52459131083925,nu,cache/mcmc_revise/new_msfs_CHG_pops_50000_ne.RData,50000
5.12007202539983,0.000141060984418023,5.12006436303967,mu,cache/mcmc_revise/new_msfs_CHG_pops_50000_ne.RData,50000
2.21062952781731,0.00060465580532766,2.21064802281044,s,cache/mcmc_revise/new_msfs_CHG_pops_5e+05_ne.RData,5e+05
7.52449052645137,0.000610041068514218,7.52444901482792,nu,cache/mcmc_revise/new_msfs_CHG_pops_5e+05_ne.RData,5e+05
6.12009919528248,0.000130293908219811,6.12009567204085,mu,cache/mcmc_revise/new_msfs_CHG_pops_5e+05_ne.RData,5e+05
