mn,sd,med,type,par,rates,psd
2.02773644170313,0.000638351926596287,2.02783389383256,s,cache/mcmc_revise/new_msfs_CG_pops_100_0.05.RData,100,0.05
7.2207399207865,0.000929496396516566,7.22073078367428,nu,cache/mcmc_revise/new_msfs_CG_pops_100_0.05.RData,100,0.05
5.92441015682624,0.00013835641414599,5.92440977033098,mu,cache/mcmc_revise/new_msfs_CG_pops_100_0.05.RData,100,0.05
2.02781622364808,0.000694601258984203,2.02788303448117,s,cache/mcmc_revise/new_msfs_CG_pops_10000_0.05.RData,10000,0.05
7.22082272295182,0.000981277945962567,7.22080283726539,nu,cache/mcmc_revise/new_msfs_CG_pops_10000_0.05.RData,10000,0.05
5.92439331516677,0.0001415622644786,5.92438860404287,mu,cache/mcmc_revise/new_msfs_CG_pops_10000_0.05.RData,10000,0.05
2.02771336241373,0.00079150236118697,2.02771610115089,s,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.01.RData,1e+06,0.01
7.22074169971293,0.00100693345307941,7.22071481755142,nu,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.01.RData,1e+06,0.01
5.92440937862343,0.00015718163339566,5.92441196764787,mu,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.01.RData,1e+06,0.01
2.02782720381457,0.000664256410424912,2.02777159138929,s,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.05.RData,1e+06,0.05
7.22083898030425,0.000947141664795285,7.22079053510385,nu,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.05.RData,1e+06,0.05
5.92439523415055,0.000138314513907739,5.92439861252218,mu,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.05.RData,1e+06,0.05
2.02766019636118,0.000601878824944833,2.02765651448301,s,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.1.RData,1e+06,0.1
7.22062066355844,0.000926613273262784,7.22060367815663,nu,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.1.RData,1e+06,0.1
5.92440729159372,0.000116232477451272,5.92439862323554,mu,cache/mcmc_revise/new_msfs_CG_pops_1e+06_0.1.RData,1e+06,0.1
2.0275027035025,0.000647637753181581,2.027520892818,s,cache/mcmc_revise/new_msfs_CG_pops_1e+08_0.05.RData,1e+08,0.05
