Genes (V3)	Genes (V4)	 Maize_EAR	 Teosinte_EAR	 Maize_LEAF	 Teosinte_LEAF	 Maize_STEM	 Teosinte_STEM
AC148152.3_FG001	Zm00001d007725	0	3	5	15	15	150
AC148152.3_FG005	Zm00001d007718	71	7	252	124	17686	27286
AC148152.3_FG008	Zm00001d007716	42	107	727	393	16	47
AC148167.6_FG001	Zm00001d018986	4006	4175	2755	2746	2680	2657
AC149475.2_FG002	Zm00001d048402	1371	908	660	537	702	619
AC149475.2_FG003	Zm00001d048403	3846	3464	2925	3660	2923	2312
AC149475.2_FG005	Zm00001d048404	4888	4095	2417	2209	2173	1898
AC149475.2_FG007	Zm00001d048407	2	15	0	17	2	21
AC149810.2_FG008	Zm00001d048342	4	9	5	4	23	15
AC149818.2_FG001	Zm00001d048393	99	101	76	95	83	101
AC149818.2_FG005	Zm00001d048396	30	18	51	15	17	4
AC149818.2_FG006	Zm00001d048397	1938	1689	885	1016	1925	2001
AC149818.2_FG007	Zm00001d048398	68	163	13	29	56	39
AC149818.2_FG008	Zm00001d048400	637	1099	313	308	198	225
AC149828.2_FG002	Zm00001d048271	2178	1879	1042	1659	1284	1562
AC149829.2_FG003	Zm00001d048308	57	28	9	13	24	19
AC150739.3_FG001	Zm00001d048542	477	405	217	290	138	213
AC155376.2_FG004	Zm00001d012158	380	304	1338	680	837	699
AC155376.2_FG005	Zm00001d012159	448	363	276	142	693	763
AC155377.1_FG001	Zm00001d044303	3311	3992	4338	4534	4566	4702
AC155377.1_FG002	Zm00001d044304	72	88	210	162	97	113
AC155390.2_FG002	Zm00001d028388	193	218	81	82	113	169
AC155434.2_FG001	Zm00001d022529	0	6	159	189	24	30
AC155434.2_FG004	Zm00001d022527	10893	10626	3895	4508	5458	4621
AC155434.2_FG005	Zm00001d022526	5	4	14	7	18	14
AC155496.2_FG009	Zm00001d013116	3292	3004	3305	2906	1963	1913
AC155610.2_FG007	Zm00001d042723	4	19	856	212	26	7
AC155624.2_FG006	Zm00001d027570	997	1070	586	651	910	960
AC155624.2_FG011	Zm00001d027573	13	13	55	27	18	28
AC159612.1_FG007	Zm00001d013097	16	50	18	20	19	24
AC166636.1_FG009	Zm00001d028013	24	18	18	7	1	2
AC177831.3_FG004	Zm00001d003635	NA	NA	NA	NA	NA	NA
AC177897.2_FG002	Zm00001d033503	26	20	11	12	118	190
AC177899.2_FG009	Zm00001d034933	95	104	63	95	52	47
AC177908.3_FG002	Zm00001d029516	307	375	796	729	1336	1056
AC182482.3_FG003	Zm00001d040002	137	41	333	292	90	37
AC182617.3_FG001	Zm00001d041575	155	147	356	247	173	85
AC183315.4_FG006	Zm00001d040107	12	13	22	14	62	89
AC183413.3_FG006	Zm00001d015738	6	0	3	0	2	0
AC183888.4_FG008	Zm00001d054056	NA	NA	NA	NA	NA	NA
AC183932.3_FG007	Zm00001d013168	989	1720	855	1038	187	570
AC183950.2_FG003	Zm00001d012095	70	4	5	0	5	4
AC183950.2_FG005	Zm00001d012097	3	0	4	0	1	0
AC184130.4_FG005	Zm00001d053755	0	4	2	2	NA	NA
AC184133.3_FG001	Zm00001d046036	0	16	0	9	0	10
AC185300.4_FG002	Zm00001d053522	31	33	47	22	141	96
AC185422.3_FG005	Zm00001d051305	0	6	7	4	0	3
AC185471.3_FG005	Zm00001d051789	75	37	62	94	5	9
AC185501.3_FG001	Zm00001d052120	NA	NA	3	0	2	0
AC185501.3_FG006	Zm00001d052131	12	33	49	61	18	24
AC185593.3_FG003	Zm00001d029802	NA	NA	NA	NA	1	1
AC185623.4_FG010	Zm00001d051515	4	0	NA	NA	NA	NA
AC185655.3_FG005	Zm00001d003342	NA	NA	NA	NA	NA	NA
AC186147.3_FG008	Zm00001d051681	3	2	67	69	NA	NA
AC186231.4_FG002	Zm00001d031878	101	27	16	3	27	102
AC186287.7_FG005	Zm00001d052035	1	1	NA	NA	7	4
AC186579.3_FG007	Zm00001d011883	NA	NA	NA	NA	NA	NA
AC186656.4_FG012	Zm00001d034481	0	2	NA	NA	NA	NA
AC187098.4_FG011	Zm00001d022587	947	837	386	397	384	363
AC187157.4_FG002	Zm00001d008871	443	367	180	303	351	222
AC187157.4_FG005	Zm00001d008869	37	28	7	26	37	29
AC187212.3_FG011	Zm00001d002297	NA	NA	NA	NA	NA	NA
AC187551.3_FG002	Zm00001d010032	416	309	284	265	164	132
AC187802.3_FG008	Zm00001d038654	0	1	NA	NA	NA	NA
AC188023.3_FG005	Zm00001d039064	708	543	1069	879	380	458
AC188710.4_FG006	Zm00001d037658	NA	NA	18	11	81	109
AC188723.3_FG001	Zm00001d009911	0	1	NA	NA	NA	NA
AC188838.3_FG005	Zm00001d038332	14	5	3	3	4	11
AC189750.4_FG004	Zm00001d021596	271	123	48	53	788	860
AC189795.3_FG001	Zm00001d026427	620	291	101	42	51	49
AC189879.3_FG003	Zm00001d046438	5104	3732	1786	2829	941	751
AC190526.3_FG004	Zm00001d016377	NA	NA	1	0	4	0
AC190609.3_FG001	Zm00001d052717	NA	NA	1	0	NA	NA
AC190609.3_FG002	Zm00001d052718	6240	7958	11524	20756	8152	14939
AC190609.3_FG003	Zm00001d052719	103	83	41	69	56	66
AC190609.3_FG004	Zm00001d052720	616	559	259	193	386	371
AC190623.3_FG001	Zm00001d043299	55	446	5422	3948	45	317
AC190623.3_FG002	Zm00001d043300	4	270	73	210	2	293
AC190636.3_FG005	Zm00001d012819	5	5	13	11	40	75
AC190734.2_FG003	Zm00001d013467	1	0	0	1	NA	NA
