Plant.ID,Plant.Name,Taxonomy,Origin,Material,Maintained.By,Availability
Ames 8083,Ames 8083,Zea mays subsp. mexicana,Mexico Federal District,Seed,NC7,Add to Cart
Ames 21847,IV.B. 1,Zea mays subsp. mexicana,Unknown,Seed,NC7,Add to Cart
Ames 21851,IV.B. 5,Zea mays subsp. mexicana,United States Illinois,Seed,NC7,Add to Cart
Ames 21852,IV.B. 7,Zea mays subsp. mexicana,Unknown,Seed,NC7,Add to Cart
Ames 21855,IV.B. 12,Zea mays subsp. mexicana,Unknown,Seed,NC7,Add to Cart
Ames 21856,IV.B. 15,Zea mays subsp. mexicana,Unknown,Seed,NC7,Add to Cart
Ames 21857,IV.B. 16,Zea mays subsp. mexicana,Unknown,Seed,NC7,Add to Cart
Ames 21860,IV.B. 22,Zea mays subsp. mexicana,United States Wisconsin,Seed,NC7,Add to Cart
PI 566673,Maicillo,Zea mays subsp. mexicana,Mexico Durango,Seed,NC7,Add to Cart
PI 566674,Maicillo,Zea mays subsp. mexicana,Mexico Durango,Seed,NC7,Add to Cart
PI 566677,Maiz de Coyote,Zea mays subsp. mexicana,Mexico Michoacan,Seed,NC7,Add to Cart
PI 566680,W.S.T.  92-5,Zea mays subsp. mexicana,Mexico Guanajuato,Seed,NC7,Add to Cart
PI 566682,Teocintle,Zea mays subsp. mexicana,Mexico Federal District,Seed,NC7,Add to Cart
PI 566685,Acece,Zea mays subsp. mexicana,Mexico Mexico,Seed,NC7,Add to Cart
Ames 21785,I.A. 1 (El Salado probably = PI 384061),Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21786,I.A. 2,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21787,I.A. 4,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21789,I.A. 8,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21790,I.A. 9,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21793,I.A. 12,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21796,I.A. 15,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21797,I.A. 16,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21798,I.A. 18,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21799,I.A. 19,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21800,I.A. 20,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21801,I.A. 21,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21802,I.A. 22,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21803,I.A. 23,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21808,I.A. 28,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21809,I.A. 29,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21810,I.A. 31,Zea mays subsp. parviglumis,Mexico,Seed,NC7,Add to Cart
Ames 21814,I.A. 36,Zea mays subsp. parviglumis,Mexico,Seed,NC7,Add to Cart
Ames 21826,I.B. 22,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21828,I.B. 24,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
Ames 21829,I.B. 25,Zea mays subsp. parviglumis,Mexico Guerrero,Seed,NC7,Add to Cart
