uid,CHG_A632,CHG_B37,CHG_B73,CHG_B97,CHG_CML322,CHG_HP301,CHG_IL14,CHG_LH123HT,CHG_LH82,CHG_Mo17,CHG_Oh43,CHG_P39,CHG_PHZ51,CHG_Tx303,chr,pos
8_135968501_135968600,0.4,0.72,0.846153846153846,0.482758620689655,0.431818181818182,0.833333333333333,0.380952380952381,0.904761904761905,0.523809523809524,0.447368421052632,0.821428571428571,0.857142857142857,0.523809523809524,0.631578947368421,8,135968600
8_135968601_135968700,0.857142857142857,NA,NA,0.944444444444444,0.5,NA,1,NA,NA,0.95,0.75,NA,NA,0.75,8,135968700
8_135968701_135968800,0.69047619047619,0.789473684210526,0.666666666666667,0.540540540540541,0.739130434782609,0.756756756756757,0.617647058823529,0.696969696969697,0.692307692307692,0.598130841121495,0.6,0.714285714285714,0.5,0.833333333333333,8,135968800
8_135968801_135968900,0.666666666666667,0.846153846153846,0.931034482758621,0.71875,0.777777777777778,0.666666666666667,0.631578947368421,0.769230769230769,0.80952380952381,0.75,0.75,0.8,0.875,0.827586206896552,8,135968900
8_135968901_135969000,0,0.5,0.613636363636364,0.514285714285714,0.545454545454545,1,0.421052631578947,0.625,0.56,0.4,0.545454545454545,NA,0.5,0.645833333333333,8,135969000
8_135969001_135969100,0.590909090909091,0.666666666666667,0.524590163934426,0.84,0.833333333333333,0.75,0.8125,0.6,0.642857142857143,0.666666666666667,0.46875,0.5,0.727272727272727,0.705882352941177,8,135969100
8_135969101_135969200,0.153846153846154,0.25,0.157894736842105,0.172413793103448,0.0655737704918033,0.108108108108108,0,0.113636363636364,0.166666666666667,0,0.146341463414634,0.108108108108108,0.0789473684210526,0.0222222222222222,8,135969200
8_135969201_135969300,0,0.027027027027027,0,0.0465116279069767,0.0151515151515152,0,0,0.024390243902439,0.0344827586206897,0,0,0,0,0.0263157894736842,8,135969300
8_135969301_135969400,0.0135135135135135,0.0277777777777778,NA,0.0227272727272727,0.04,0,0,0,0.0294117647058824,0.0526315789473684,0.027027027027027,0,0.0263157894736842,0.0181818181818182,8,135969400
8_135969401_135969500,0.00961538461538462,0,NA,0,0,0,0.0487804878048781,0.0103092783505155,0,0,0,0,0.0227272727272727,0,8,135969500
8_135969501_135969600,0.4375,0.344827586206897,NA,0.366666666666667,0.571428571428571,0.434782608695652,0.442307692307692,0.76,0.814814814814815,0.333333333333333,0.733333333333333,0.571428571428571,0.357142857142857,0.317073170731707,8,135969600
8_135969601_135969700,0.9,0.875,1,0.523809523809524,0.888888888888889,0.684210526315789,0.625,0.666666666666667,0.7,0.5,0.875,1,0.666666666666667,0.791666666666667,8,135969700
8_135969701_135969800,0.666666666666667,0.705882352941177,0.659090909090909,0.731707317073171,0.8,0.830188679245283,0.578947368421053,0.777777777777778,0.784313725490196,0.763157894736842,0.756756756756757,0.9,0.691588785046729,0.615384615384615,8,135969800
8_135969801_135969900,0.4,0.484848484848485,0.571428571428571,0.454545454545455,0.666666666666667,0.523809523809524,0.384615384615385,0.5,0.529411764705882,0.6,0.55,0.545454545454545,0.6875,0.590909090909091,8,135969900
