Marker	Chr	Genetic	v2	v4
agp2	6	169.8	166,606,624	170753394
AI665560	6	73.9	132,064,031	136198056
AI668346	2	176.9	209,833,687	216692597
AI770795	3	177.2	193,638,925	196591019
AI770873	3	133.9	167,683,101	170268374
AI855190	1	164.8	164,090,469	165744669
AI901738	9	201.3	154,781,569	157944630
AI920398	2	92.2	22,153,781	23444833
an1	1	272.9	241,337,697	244979463
asg20	2	164.2	204,115,860	210665150
asg64	3	14	2,802,708	2039732
asg75	1	129.2	59,505,884	60226071
AW216329	9	205.7	154,908,170	158055085
AW225120	10	17.2	4,638,368	4237105
AW244963	8	75.2	60,305,847	61077900
AW257883	9	82	100,609,365	104064288
AW267377	7	204.6	167,607,933	173165763
AW308691	7	56.9	6,539,868	6969115
AW330564	10	15.5	3,192,417	2776869
AW400087	1	116.2	51,216,556	51651493
AW681281	2	129.4	135,049,069	139104070
AY103770	9	83	99,415,364	102858558
AY103806	8	196.4	173,103,391	178397545
AY104017	8	99.7	119,039,185	122041654
AY104079	5	108.6	70,023,321	72018120
AY104214	2	98.6	28,394,781	29817969
AY104289	6	151.7	163,835,512	168004843
AY104360	1	194.6	189,354,230	191518429
AY104465	7	46.4	5,214,524	5472691
AY104511	3	197.9	201,684,839	204885626
AY104566	8	106.4	124,951,654	128362352
AY104775	6	36.8	102,403,652	105650007
AY105457	8	85.1	90,789,281	92639900
AY105589	7	86	21,464,802	22524822
AY105728	6	122.5	158,416,567	162576119
AY105785	6	122.5	158,452,179	162605331
AY105849	3	0	208,774,717	212341852
AY105915	2	137.1	173,380,796	178195876
AY105971	4	180.8	196,903,960	201215682
AY106040	2	59.9	14,836,708	15287628
AY106269	8	46.9	14,590,085	15000107
AY109506	1	290.9	250,300,709	254400145
AY109516	2	31.6	8,897,793	9073055
AY109531	9	65.6	23,256,351	23107372
AY109532	5	125.2	168,544,372	172513315
AY109534	4	162.1	181,229,516	184160765
AY109543	9	158.7	149,164,109	152291902
AY109549	3	42.2	7,412,439	6561559
AY109550	9	127.7	142,205,829	144884215
AY109570	9	65.6	23,815,315	23694813
AY109583	2	178.8	209,497,507	216355241
AY109584	10	68.4	111,776,636	112660045
AY109586	2	248.2	235,142,298	243172364
AY109592	2	212.8	225,225,993	232175362
AY109593	8	176.3	170,331,674	175573277
AY109603	2	28.5	5,925,654	5873793
AY109606	5	96.7	34,092,842	35277822
AY109645	2	183.1	213,767,931	220573556
AY109646	1	159	98,354,492	100650423
AY109682	5	137.5	174,364,189	178462208
AY109698	10	68.8	116,057,095	117126801
AY109699	8	18.1	4,516,474	4746568
AY109722	2	159.1	198,580,170	205082354
AY109733	5	29.8	4,422,876	4528441
AY109764	9	94.5	122,199,062	124158020
AY109792	9	104.3	134,641,119	137102351
AY109797	6	151.7	163,869,962	168039353
AY109809	7	91	96,015,344	98995532
AY109819	9	153.4	146,872,620	149845035
AY109828	3	195	201,301,194	204489212
AY109829	10	152.9	148,094,368	148906227
AY109853	8	217.1	175,294,786	180572057
AY109859	4	241.7	239,138,036	244568058
AY109870	3	98.3	42,889,321	42358289
AY109873	6	79.5	144,382,493	148453237
AY109883	8	123.9	160,769,705	165746321
AY109917	2	159.1	198,722,691	205258869
AY109920	10	67.2	108,377,749	109137214
AY109929	1	89.5	38,549,534	38916269
AY109934	3	224.9	213,607,332	217281296
AY109938	5	164	190,734,355	196086454
AY109980	4	180.8	195,538,982	199809871
AY109981	2	137.1	175,089,037	180013299
AY109994	10	39.1	8,785,667	8711112
AY109995	5	98.1	38,979,750	40172444
AY110016	10	118.2	144,469,525	145157522
AY110019	1	317.2	270,964,968	275689381
AY110050	6	80.7	146,378,476	150418221
AY110052	1	93.7	39,219,026	39568735
AY110053	8	185.5	171,774,778	177054177
AY110055	3	151.5	179,994,955	182853405
AY110056	8	93.6	112,677,133	115386449
AY110060	10	7.9	2,462,036	2043773
AY110064	4	204	231,727,633	236807969
AY110100	6	13.7	8,679,773	9103313
AY110127	8	196.4	173,408,214	178701419
AY110151	3	102.3	95,266,767	103862343
AY110159	1	258.2	228,563,158	232176471
AY110160	1	369.7	295,018,127	300524433
AY110167	10	83.7	132,974,058	134172908
AY110170	4	189.9	204,599,750	209128468
AY110191	1	258.2	227,367,371	230961065
AY110248	10	56.8	66,720,368	65970566
AY110253	4	70.4	15,299,059	16449068
AY110260	6	77.4	143,696,034	147780144
AY110266	2	105.7	32,443,323	33957776
AY110290	4	100.1	46,621,073	48658967
AY110297	3	97.8	67,694,773	67926523
AY110310	4	122.4	157,609,394	161089445
AY110314	1	4.7	3,732,917	3844857
AY110349	1	272.9	242,142,712	245864373
AY110352	3	114	137,393,153	138093718
AY110355	4	114.1	144,044,042	147346801
AY110356	1	253.1	224,078,294	227691665
AY110360	10	30.2	5,588,397	5235289
AY110365	10	68.8	113,827,657	114817431
AY110374	7	123.7	140,572,813	145306850
AY110382	9	165.9	149,819,986	152956507
AY110393	1	116.2	51,291,451	51726767
AY110396	1	161.1	147,989,696	149615824
AY110398	4	60.1	11,467,743	12385323
AY110411	10	55.5	42,409,158	43589592
AY110435	6	75.1	137,078,584	141207237
AY110450	8	81	63,145,296	63983802
AY110473	7	90.6	50,153,955	51776216
AY110479	1	358.6	291,862,579	297382264
AY110485	2	110.3	41,305,246	43090786
AY110514	10	64.8	99,603,457	100055511
AY110535	2	0	1,283,102	1264140
AY110540	3	229.5	216,464,908	220030177
AY110542	6	75.6	134,923,282	139023811
AY110562	4	114.1	144,840,065	148150086
AY110631	4	172.5	188,203,557	192081893
AY110632	1	107.2	46,124,988	46379633
AY110634	10	77.7	127,573,830	128608927
AY110640	1	105.9	44,345,008	44531893
AY110873	6	81.9	146,503,155	150540915
AY110983	1	392.9	298,735,113	304246655
AY110989	4	180.8	195,327,363	199611471
AY111125	3	176.5	190,454,440	193364512
AY111142	5	93.2	29,323,662	30290491
AY111153	1	208.7	194,748,929	197125565
AY111178	10	61.4	85,644,631	85624324
AY111296	3	133.9	166,450,397	169073238
AY111507	3	116.9	148,555,854	149865516
AY111541	3	116.9	149,553,436	150854715
AY111680	1	159	104,482,049	107055935
AY111834	1	232.3	207,529,776	210346752
AY111936	1	323.8	273,782,172	278615087
AY111964	6	36.8	102,226,353	105520607
AY112073	10	61.4	83,456,775	83291186
AY112127	4	167.9	185,731,904	189189510
BE639426	1	324.3	274,709,266	279578469
BE639846	3	146.1	176,553,500	179131269
BE639933	5	118.6	137,392,915	140717585
BE640649	2	29.4	6,474,435	6421317
bnl2.369	8	99.7	122,338,518	125447485
bnl4.36	5	110.1	80,842,184	83006044
bnl5.37b	3	133.9	168,366,251	170936337
bnl6.16a	3	176.1	191,052,496	193959672
bnl6.32	1	391.4	297,960,525	303451780
bnlg1014	1	26.3	6,954,139	6968120
bnlg1019a	3	89.9	26,341,087	25839024
bnlg1028	10	93.6	138,475,535	139794439
bnlg1035	3	106.5	136,873,372	137560752
bnlg1065	8	150.1	165,689,209	170892702
bnlg1074	10	77.7	130,965,990	132193032
bnlg1108	3	220.3	210,831,372	214460069
bnlg1117	3	121.8	152,222,215	153614191
bnlg1124	1	0	2,033,660	2100207
bnlg1138	2	138.9	172,337,893	177153556
bnlg1144	3	34.2	5,318,712	4481661
bnlg1152	8	123.9	160,355,817	165256622
bnlg1154	6	72.2	127,114,338	131079602
bnlg1159b	9	88.9	112,448,583	115791247
bnlg1175	2	110.3	42,409,105	44248811
bnlg1178	1	45.9	14,078,343	14294829
bnlg1188	6	23.5	75,583,814	78490828
bnlg1203	1	103.6	43,700,743	43923607
bnlg1217	4	97.3	41,977,452	43719047
bnlg1250	10	77.7	132,214,463	133402959
bnlg1316	2	179.8	212,352,155	219170993
bnlg1325	3	34.2	5,609,061	4774711
bnlg1327	2	52.6	12,874,870	13164323
bnlg1371	6	18.4	26,454,332	27850494
bnlg1380	7	90.6	83,014,758	85958917
bnlg1401	9	60	18,561,278	18428504
bnlg1450	10	133.1	146,358,351	147136037
bnlg1451	10	27.8	4,875,130	4474325
bnlg1484	1	89.1	34,916,416	35223402
bnlg1496	3	251	223,463,195	227201670
bnlg1538	6	24.4	70,934,148	73845137
bnlg1606	2	194.3	217,209,296	223993437
bnlg1615	1	208.7	192,967,435	195327031
bnlg1641	6	24.4	48,799,200	50574163
bnlg1647	3	44.2	8,211,240	7392648
bnlg1651	8	110.6	134,918,210	138857831
bnlg1655	10	62.5	85,265,790	85232011
bnlg1660	5	75.4	13,002,294	13379253
bnlg1724	9	12.9	4,301,083	3889171
bnlg1746	2	194.7	217,703,565	224502825
bnlg1755	4	111.3	118,324,214	121978913
bnlg1759a	6	151.7	164,144,355	168303166
bnlg1779	3	216.8	209,346,329	212939995
bnlg1792	7	90.6	85,137,988	88100526
bnlg1811	1	135.8	70,810,274	72070393
bnlg182	1	118.4	51,509,771	51953465
bnlg1831	2	133.1	152,207,428	156922169
bnlg1834	8	75.2	63,881,873	65444514
bnlg1863	8	83.6	92,125,449	93921765
bnlg1866	1	118.7	51,509,771	51953465
bnlg1893	2	230.6	232,577,740	239484429
bnlg1953	1	66.5	23,677,730	24073521
bnlg2057	1	184.7	185,016,727	187167609
bnlg2077	2	163.7	202,370,949	208945768
bnlg2086	1	145.6	83,698,816	85386515
bnlg2162	4	167.9	185,555,956	189011222
bnlg2244	4	166.8	184,746,297	188193712
bnlg345	6	107.1	153,609,505	157789487
bnlg439	1	103.5	43,700,743	43923607
bnlg490	4	90.6	31,323,581	32907828
bnlg557	5	90.7	23,352,808	23868842
bnlg609	5	178	199,640,776	204960005
bnlg619	9	165.9	149,885,847	153022389
bnlg640	10	62.5	85,265,790	85232011
bz1	9	36.7	11,776,976	11221057
cdj2	1	291.5	250,092,832	254194311
crt2	7	88.3	24,318,258	25445896
csu1087	5	8.2	1,415,401	1457675
csu1138	1	161.1	120,194,433	122020309
csu173	5	145.5	181,386,822	185974544
csu221	4	6.4	2,056,385	2612282
csu235	4	63.6	12,847,457	13753337
csu3	1	148	82,574,898	84224914
csu303	3	229.5	216,232,638	219798349
csu308	5	127	168,646,501	172618464
csu319	8	5.3	1,866,848	2011691
csu329	8	61.3	20,836,155	21517988
csu340	5	90.7	20,908,064	21426263
csu374b	1	223.1	203,172,622	205994406
csu481	6	73.5	130,133,832	134216687
csu582	7	6	1,285,636	1390188
csu625	10	43.9	13,645,859	13794054
csu634	9	109.6	136,553,558	139131310
csu696	1	299	253,570,111	257829324
csu805	1	201	193,323,063	195678085
csu845	3	231.7	216,794,998	220336213
dupssr10	5	115.5	142,391,544	145718976
gol1	4	165.7	181,961,581	185307691
IDP100	4	167.9	185,627,028	189070394
IDP101	5	106.9	65,454,915	67362053
IDP102	9	101.9	134,286,389	136739519
IDP103	10	12.3	2,782,441	2355329
IDP105	6	23.2	39,368,482	41138044
IDP106	7	24	2,776,430	2898331
IDP109	4	82.2	18,684,720	19866802
IDP111	9	23.1	7,770,578	7354305
IDP112	1	105.9	44,027,289	44244542
IDP113	4	189.9	204,274,565	208798319
IDP114	2	224.3	230,356,093	237362887
IDP116	3	265.8	227,914,124	231817309
IDP117	2	194.3	217,639,490	224436360
IDP120	10	89.9	136,877,687	138077250
IDP122	5	15.8	2,264,826	2345321
IDP125	3	1	1,301,587	567943
IDP126	1	260.7	230,882,073	234435868
IDP128	3	224.9	214,372,726	218143822
IDP132	9	176.2	151,398,344	154590611
IDP133	6	33.4	98,315,645	101181095
IDP134	10	95.7	138,858,044	140145367
IDP136	2	179.3	211,516,138	218327492
IDP137	3	195	201,187,932	204373521
IDP138	3	106.5	128,880,355	129402685
IDP139	6	24.4	81,715,010	84763955
IDP1396	5	129.8	169,842,121	174723419
IDP1406	6	127.2	160,601,672	164788944
IDP1407	1	159	119,999,096	121820718
IDP1413	6	18	27,460,975	28894376
IDP1415	2	116.5	48,421,766	50474876
IDP1417	7	9.9	1,946,425	2076622
IDP1419	9	195.1	153,735,532	156887627
IDP142	1	103.5	41,277,176	41697798
IDP1420	1	306.3	258,957,013	263622515
IDP1421	4	146.8	173,989,151	177028035
IDP1422	4	194.6	217,521,376	221656655
IDP1425	1	45.9	12,853,648	13053608
IDP1426	8	26.9	6,855,016	7171909
IDP1427	6	98.9	152,434,913	156587867
IDP1429	10	63.3	92,908,859	93137110
IDP143	2	204.8	223,251,036	230304780
IDP1430	6	23.6	73,906,996	76732823
IDP1432	8	213.4	175,064,634	180338742
IDP1433	3	106.5	132,847,325	133497705
IDP1436	8	134.2	163,853,461	168856210
IDP1437	1	34.2	9,559,443	9616511
IDP1438	10	39.5	10,194,522	10215815
IDP1439	2	110.3	41,959,680	43779244
IDP144	8	75.2	26,066,146	26872173
IDP1441	9	95.5	124,520,047	126579954
IDP1444	6	73.9	131,401,485	135517970
IDP1446	10	62.5	84,158,048	84023955
IDP1447	1	4.7	3,647,980	3774242
IDP1448	10	21.2	4,735,679	4333844
IDP1449	8	88.5	101,289,966	103335019
IDP1450	2	202	221,480,300	228476640
IDP1455	3	83.9	19,970,012	19386449
IDP1458	10	43	10,785,622	10822404
IDP1459	4	227.1	237,597,937	242868109
IDP1460	3	91.3	27,859,727	27426116
IDP1461	1	45.9	13,071,651	13273213
IDP1462	7	30.1	2,888,331	3004794
IDP1463	5	25.1	3,758,522	3872030
IDP1464	1	6.5	3,894,254	3976077
IDP1465	9	152.1	146,914,727	149914293
IDP1467	5	122.9	167,254,650	171173270
IDP1468	1	283.8	246,548,701	250181837
IDP147	2	99.4	28,036,160	29440926
IDP1471	10	111.9	142,965,887	143750558
IDP1473	1	141.7	76,609,858	78107313
IDP1475	3	87.5	20,230,353	19640665
IDP1476	6	129.3	161,554,263	165736702
IDP1478	1	389.7	297,964,485	303455740
IDP1479	10	52.5	25,322,304	26075446
IDP148	6	112.4	155,243,777	159380401
IDP1480	3	257.2	226,481,269	230397689
IDP1486	10	4.9	2,037,727	1594287
IDP1488	9	180.1	152,485,222	155630007
IDP1489	1	129.2	56,572,832	57265426
IDP149	3	168.4	187,048,338	189987406
IDP1495	8	164.4	168,747,453	173980431
IDP1496	2	117.6	51,552,487	53590477
IDP1499	4	71.1	17,233,165	18371252
IDP150	5	43.8	6,139,266	6404109
IDP1501	3	166.5	184,434,510	187419721
IDP1502	10	62.9	88,568,776	88716496
IDP152	3	252.8	223,758,930	227513264
IDP155	4	252.4	240,838,939	246373578
IDP156	1	193.5	189,086,513	191268636
IDP157	2	183.1	213,174,184	219974949
IDP158	3	271.7	231,890,512	234825513
IDP159	9	146.4	145,888,674	148726513
IDP160	3	231.7	216,463,302	220028571
IDP1602	3	231.7	217,460,709	221067328
IDP1604	5	106	65,418,352	67325501
IDP1605	1	149.7	87,625,720	89564264
IDP1609	5	96.7	38,928,137	40148899
IDP161	4	110.6	137,567,969	140677440
IDP1611	7	211.3	168,806,853	174357434
IDP1612	2	78.3	18,133,383	19342483
IDP1615	10	65.8	109,013,678	109829627
IDP1616	10	62.5	86,417,446	86461090
IDP1619	5	9.8	816,444	848903
IDP1621	4	197.9	227,272,684	232245965
IDP1623	5	121.8	154,987,107	158782262
IDP1624	7	75.5	10,516,388	10798241
IDP1625	5	145.5	182,188,396	186770060
IDP1628	8	211	174,250,759	179490246
IDP163	5	166	192,561,237	197943456
IDP1631b	9	101.2	131,582,314	134030563
IDP1632	1	103.5	43,505,626	43725581
