Context	Comparsion	Chr_D	Start_D	end_D	Chr_F	Start_F	end_F	Feature	Overlap(bp)	Gene_ID	Chr	up_5k	Start	End	down_5k	Strand
CG	Landrace/Maize	1	3036286	3036640	1	3035575	3036912	Exon	354	Zm00001d027329	1	3026993	3031993	3036913	3041913	+
CG	Landrace/Maize	2	144887054	144887587	2	144882980	144890090	Exon	533	Zm00001d004855	2	144877980	144882980	144890090	144895090	-
CG	Landrace/Maize	2	229625794	229626238	2	229625686	229626731	Exon	444	Zm00001d007357	2	229608617	229613617	229626731	229631731	+
CG	Landrace/Maize	3	189131053	189131342	3	189130901	189131184	Exon	131	Zm00001d043094	3	189124421	189129421	189137112	189142112	+
CG	Landrace/Maize	4	40262759	40263137	4	40262262	40263165	Exon	378	Zm00001d049687	4	40257262	40262262	40265308	40270308	-
CG	Landrace/Maize	5	1653071	1653502	5	1642983	1653530	Exon	431	Zm00001d012892	5	1637983	1642983	1653530	1658530	+
CG	Landrace/Maize	5	128733898	128734031	5	128733433	128735702	Exon	133	Zm00001d015884	5	128728433	128733433	128735702	128740702	-
CG	Landrace/Maize	5	191540990	191541114	5	191539072	191541219	Exon	124	Zm00001d017279	5	191534072	191539072	191541219	191546219	+
CG	Landrace/Maize	6	3930746	3930953	6	3930591	3931089	Exon	207	Zm00001d035076	6	3923244	3928244	3931456	3936456	+
CG	Landrace/Maize	6	143128718	143128822	6	143128611	143128998	Exon	104	Zm00001d037947	6	143121162	143126162	143128998	143133998	-
CG	Landrace/Maize	7	18719965	18720209	7	18719728	18721273	Exon	244	Zm00001d019138	7	18714728	18719728	18721630	18726630	-
CG	Landrace/Maize	8	73468304	73468796	8	73467308	73468804	Exon	492	Zm00001d009618	8	73462308	73467308	73468804	73473804	+
CG	Landrace/Maize	8	147353671	147353882	8	147353740	147354088	Exon	142	Zm00001d011342	8	147348740	147353740	147354088	147359088	+
CG	Landrace/Maize	9	88223803	88223929	9	88223499	88223951	Exon	126	Zm00001d046416	9	88215986	88220986	88223951	88228951	+
CG	Landrace/Maize	10	32816274	32816637	10	32816263	32817141	Exon	363	Zm00001d023973	10	32810479	32815479	32817141	32822141	+
CG	Landrace/Maize	1	209390	209725	1	204979	209978	Gene_down_5k	335	Zm00001d027240	1	194345	199345	205715	210715	-
CG	Landrace/Maize	1	209390	209725	1	204979	209978	Gene_down_5k	335	Zm00001d027242	1	204979	209979	215403	220403	-
CG	Landrace/Maize	1	23270724	23270855	1	23270018	23275017	Gene_down_5k	131	Zm00001d028114	1	23260205	23265205	23270017	23275017	+
CG	Landrace/Maize	1	23270724	23270855	1	23270018	23275017	Gene_down_5k	131	Zm00001d028115	1	23265111	23270111	23270785	23275785	-
CG	Landrace/Maize	1	23270724	23270855	1	23270018	23275017	Gene_down_5k	131	Zm00001d028116	1	23265825	23270825	23271421	23276421	-
CG	Landrace/Maize	1	33301953	33302236	1	33298345	33303344	Gene_down_5k	283	Zm00001d028396	1	33298345	33303345	33310707	33315707	-
CG	Landrace/Maize	1	55798226	55798389	1	55793606	55798605	Gene_down_5k	163	Zm00001d029042	1	55788069	55793069	55793605	55798605	+
CG	Landrace/Maize	1	174115759	174115894	1	174113447	174118446	Gene_down_5k	135	Zm00001d031026	1	174107352	174112352	174114291	174119291	-
CG	Landrace/Maize	1	174115759	174115894	1	174113447	174118446	Gene_down_5k	135	Zm00001d031027	1	174113447	174118447	174125812	174130812	-
CG	Landrace/Maize	2	37321751	37321963	2	37318332	37323331	Gene_down_5k	212	Zm00001d003237	2	37318332	37323332	37323970	37328970	-
CG	Landrace/Maize	2	76079314	76079533	2	76076377	76081376	Gene_down_5k	219	Zm00001d004020	2	76064583	76069583	76077522	76082522	-
CG	Landrace/Maize	2	76079314	76079533	2	76076377	76081376	Gene_down_5k	219	Zm00001d004021	2	76072655	76077655	76080443	76085443	+
CG	Landrace/Maize	2	76079314	76079533	2	76076377	76081376	Gene_down_5k	219	Zm00001d004022	2	76076377	76081377	76085776	76090776	-
CG	Landrace/Maize	2	117110283	117110646	2	117107005	117112004	Gene_down_5k	363	Zm00001d004541	2	117107005	117112005	117121714	117126714	-
CG	Landrace/Maize	2	225335696	225336188	2	225331968	225336967	Gene_down_5k	492	Zm00001d007232	2	225326318	225331318	225333027	225338027	+
CG	Landrace/Maize	2	225335696	225336188	2	225331968	225336967	Gene_down_5k	492	Zm00001d007233	2	225329575	225334575	225336580	225341580	+
