Chr_1	S1	E1	Chr_2	S2	E2	Contacts
1	43113	46618	1	54351	58078	2
1	54351	58078	1	170315	172998	1
1	54351	58078	1	174126	175848	1
1	54351	58078	1	208725	211665	1
1	91333	95762	1	1022663	1024210	1
1	91333	95762	1	1071750	1074210	1
1	107573	111774	1	345318	348497	1
1	131628	134462	1	153394	157619	2
1	153394	157619	1	197005	200275	2
1	153394	157619	1	214592	216729	1
1	153394	157619	1	467643	470605	1
1	174126	175848	1	197005	200275	1
1	174126	175848	1	208725	211665	1
1	174126	175848	1	368372	372923	1
1	174126	175848	1	443166	465900	1
1	197005	200275	1	208725	211665	1
1	197005	200275	1	1022663	1024210	1
1	208725	211665	1	214592	216729	1
1	208725	211665	1	337056	339957	1
1	214592	216729	1	262096	264379	1
1	214592	216729	1	277091	280635	1
1	262096	264379	1	277091	280635	2
1	262096	264379	1	337056	339957	1
1	262096	264379	1	502346	505337	1
1	262096	264379	1	1034364	1037095	1
1	277091	280635	1	330713	333127	1
1	277091	280635	1	345318	348497	2
1	277091	280635	1	401088	404078	1
1	277091	280635	1	563879	565569	1
1	323069	326909	1	687348	691660	1
1	330713	333127	1	368372	372923	1
1	330713	333127	1	687348	691660	2
1	337056	339957	1	345318	348497	1
1	337056	339957	1	368372	372923	2
1	337056	339957	1	426846	429034	2
1	337056	339957	1	2154300	2157062	1
1	368372	372923	1	378360	381496	1
1	378360	381496	1	443166	465900	1
1	378360	381496	1	571470	574413	1
1	378360	381496	1	687348	691660	1
1	401088	404078	1	571470	574413	1
1	426846	429034	1	443166	465900	1
1	426846	429034	1	1026784	1033112	1
1	443166	465900	1	502346	505337	1
1	443166	465900	1	2104191	2107684	1
1	467643	470605	1	1026784	1033112	1
1	502346	505337	1	559252	561375	1
1	502346	505337	1	563879	565569	1
1	559252	561375	1	571470	574413	2
1	559252	561375	1	1071750	1074210	1
1	563879	565569	1	571470	574413	1
1	563879	565569	1	687348	691660	1
1	563879	565569	1	1022663	1024210	1
1	687348	691660	1	700840	702478	1
1	700840	702478	1	1491670	1493785	1
1	1011361	1014050	1	1022663	1024210	1
1	1011361	1014050	1	1026784	1033112	2
1	1011361	1014050	1	1034364	1037095	1
1	1011361	1014050	1	2529328	2532685	1
1	1022663	1024210	1	1026784	1033112	6
1	1022663	1024210	1	1034364	1037095	1
1	1022663	1024210	1	1198589	1199997	1
1	1026784	1033112	1	1034364	1037095	5
1	1026784	1033112	1	1229292	1233377	2
1	1026784	1033112	1	2284179	2285914	1
1	1034364	1037095	1	1065451	1068655	1
1	1034364	1037095	1	1071750	1074210	1
1	1034364	1037095	1	1833541	1837933	1
1	1034364	1037095	1	2630524	2636624	1
1	1065451	1068655	1	1071750	1074210	1
1	1065451	1068655	1	1229292	1233377	1
1	1071750	1074210	1	1842130	1844582	1
1	1198589	1199997	1	2522203	2525531	1
1	1229292	1233377	1	2779158	2782537	1
1	1229292	1233377	1	3103613	3105704	1
1	1491670	1493785	1	1920378	1922512	1
1	1491670	1493785	1	2868351	2872273	1
1	1491670	1493785	1	2933040	2936409	1
1	1491670	1493785	1	3367504	3369421	1
1	1609740	1612021	1	2032213	2035246	1
1	1609740	1612021	1	3228329	3234525	1
1	1715392	1717704	1	1806975	1809290	1
1	1715392	1717704	1	1816310	1821167	1
1	1816310	1821167	1	1833541	1837933	1
1	1816310	1821167	1	2818897	2821810	1
1	1827289	1829567	1	1833541	1837933	3
1	1827289	1829567	1	1842130	1844582	1
1	1827289	1829567	1	3228329	3234525	1
1	1833541	1837933	1	1842130	1844582	3
1	1833541	1837933	1	1920378	1922512	1
1	1842130	1844582	1	2104191	2107684	1
1	1842130	1844582	1	2111694	2114902	1
1	1842130	1844582	1	3122328	3125957	1
1	2018925	2022081	1	2154300	2157062	1
1	2018925	2022081	1	2563281	2566195	1
1	2032213	2035246	1	2296245	2299729	2
1	2032213	2035246	1	3805339	3808502	1
1	2032213	2035246	1	3810986	3813116	1
1	2104191	2107684	1	2111694	2114902	2
1	2104191	2107684	1	2470230	2473203	1
1	2111694	2114902	1	2154300	2157062	1
1	2111694	2114902	1	2529328	2532685	1
1	2111694	2114902	1	2887429	2890677	1
1	2154300	2157062	1	2296245	2299729	1
1	2154300	2157062	1	2386368	2389308	1
1	2168915	2171823	1	2234897	2236910	1
1	2168915	2171823	1	2422413	2424920	1
1	2234897	2236910	1	2287914	2290920	1
1	2287914	2290920	1	2630524	2636624	1
1	2287914	2290920	1	2868351	2872273	1
1	2296245	2299729	1	2422413	2424920	1
1	2296245	2299729	1	3367504	3369421	1
1	2386368	2389308	1	2428163	2429791	1
1	2386368	2389308	1	3173572	3177067	1
1	2461878	2464014	1	2481918	2484202	1
1	2481918	2484202	1	2522203	2525531	1
1	2522203	2525531	1	2563281	2566195	2
1	2522203	2525531	1	2745808	2748545	2
1	2522203	2525531	1	3228329	3234525	1
1	2529328	2532685	1	2818897	2821810	1
1	2563281	2566195	1	2745808	2748545	1
1	2563281	2566195	1	3805339	3808502	1
1	2630524	2636624	1	2745808	2748545	2
1	2630524	2636624	1	2779158	2782537	1
1	2630524	2636624	1	2808751	2814346	1
1	2630524	2636624	1	2828001	2830430	1
1	2630524	2636624	1	3173572	3177067	1
1	2630524	2636624	1	3271067	3274922	1
1	2745808	2748545	1	2773444	2775862	1
1	2745808	2748545	1	4148669	4151368	1
1	2773444	2775862	1	2779158	2782537	1
1	2773444	2775862	1	3228329	3234525	1
1	2773444	2775862	1	4734424	4738322	1
1	2779158	2782537	1	2794877	2796558	1
1	2779158	2782537	1	2808751	2814346	1
1	2779158	2782537	1	2818897	2821810	4
1	2779158	2782537	1	2887429	2890677	1
1	2779158	2782537	1	3444573	3446896	1
1	2808751	2814346	1	2818897	2821810	4
1	2808751	2814346	1	2868351	2872273	1
1	2808751	2814346	1	2881679	2884010	2
1	2808751	2814346	1	2973071	2978521	1
1	2808751	2814346	1	4114319	4116593	1
1	2808751	2814346	1	4339107	4341924	1
1	2818897	2821810	1	2881679	2884010	3
1	2818897	2821810	1	2933040	2936409	1
1	2818897	2821810	1	4718546	4723029	2
1	2828001	2830430	1	2881679	2884010	2
1	2828001	2830430	1	3224168	3226036	1
1	2828001	2830430	1	3476712	3478530	1
1	2868351	2872273	1	4219933	4222996	1
1	2881679	2884010	1	2887429	2890677	1
1	2881679	2884010	1	2895341	2898614	2
1	2881679	2884010	1	2933040	2936409	1
1	2881679	2884010	1	2958614	2961433	1
1	2881679	2884010	1	4132277	4135983	1
1	2887429	2890677	1	2895341	2898614	1
1	2887429	2890677	1	2973071	2978521	1
1	2887429	2890677	1	3031176	3036591	1
1	2887429	2890677	1	3371095	3373506	1
1	2895341	2898614	1	2933040	2936409	1
1	2895341	2898614	1	2958614	2961433	2
1	2895341	2898614	1	3224168	3226036	1
1	2933040	2936409	1	2958614	2961433	3
1	2933040	2936409	1	2973071	2978521	2
1	2933040	2936409	1	3103613	3105704	2
1	2933040	2936409	1	3482305	3484943	1
1	2933040	2936409	1	3849231	3851234	1
1	2933040	2936409	1	4119069	4122756	1
1	2933040	2936409	1	4494538	4500334	1
1	2958614	2961433	1	2973071	2978521	2
1	2958614	2961433	1	3371095	3373506	1
1	2973071	2978521	1	2995300	2998714	1
1	2973071	2978521	1	3031176	3036591	1
1	2973071	2978521	1	3103613	3105704	1
1	2973071	2978521	1	3228329	3234525	1
1	2995300	2998714	1	3037304	3039086	1
1	2995300	2998714	1	3367504	3369421	1
1	2995300	2998714	1	4109621	4111693	1
1	2995300	2998714	1	4907638	4910200	1
1	3031176	3036591	1	3122328	3125957	2
1	3031176	3036591	1	3173572	3177067	1
1	3031176	3036591	1	3228329	3234525	1
1	3031176	3036591	1	3367504	3369421	1
1	3031176	3036591	1	4533906	4536560	1
1	3037304	3039086	1	3103613	3105704	1
1	3103613	3105704	1	3271067	3274922	1
1	3103613	3105704	1	3371095	3373506	1
1	3103613	3105704	1	3841541	3844016	1
1	3103613	3105704	1	4734424	4738322	1
1	3122328	3125957	1	3134810	3137789	5
1	3122328	3125957	1	3228329	3234525	3
1	3122328	3125957	1	3383727	3386230	1
1	3122328	3125957	1	4132277	4135983	1
1	3134810	3137789	1	3487985	3491503	1
1	3163563	3165389	1	3173572	3177067	1
