Type	chr	start	stop	q-value	mean_methylation_difference	#CpGs	p(MWU)	p(2D KS)	POP A	POP B	Compare
CG	1	403764	404173	1.30E-57	-0.451792	40	4.90E-14	1.90E-63	0.36637	0.81816	Landrace/Maize
CG	1	23699397	23699964	2.50E-17	-0.489142	16	3.90E-14	3.50E-23	0.082114	0.57126	Landrace/Maize
CG	1	55799156	55799240	3.90E-09	-0.404013	8	4.10E-14	5.60E-15	3.65E-01	0.76942	Landrace/Maize
CG	1	106083228	106083455	7.10E-23	-0.737442	8	3.90E-14	1.00E-28	0.041507	0.77895	Landrace/Maize
CG	1	260488043	260488241	3.90E-29	-0.540245	14	4.50E-14	5.60E-35	0.24499	0.78524	Landrace/Maize
CG	2	18546726	18546901	1.30E-19	-0.441598	10	4.30E-14	1.80E-25	0.45381	0.89541	Landrace/Maize
CG	2	166116063	166116375	2.10E-28	-0.409898	29	4.40E-14	3.10E-34	0.091896	0.50179	Landrace/Maize
CG	2	243876208	243876515	1.00E-16	-0.569761	8	4.20E-14	1.40E-22	0.26473	0.83449	Landrace/Maize
CG	3	76711011	76711270	8.60E-19	-0.493274	16	4.20E-14	1.20E-24	0.05111	0.54438	Landrace/Maize
CG	3	126130983	126131183	6.90E-07	-0.400885	12	5.00E-14	9.90E-13	0.045142	0.44603	Landrace/Maize
CG	3	215471486	215471615	2.80E-15	-0.423275	16	4.40E-14	4.00E-21	0.12822	0.5515	Landrace/Maize
CG	4	46422096	46422396	2.40E-14	-0.419638	13	4.20E-14	3.40E-20	0.32926	0.7489	Landrace/Maize
CG	4	106058919	106059417	4.00E-17	-0.406984	17	4.10E-14	5.70E-23	0.50235	0.90933	Landrace/Maize
CG	4	112110033	112110341	9.90E-33	-0.437885	29	4.80E-14	1.40E-38	0.21584	0.65372	Landrace/Maize
CG	4	115211393	115211659	2.80E-14	-0.570571	8	4.30E-14	4.00E-20	0.31888	0.88945	Landrace/Maize
CG	4	115249927	115250253	6.60E-14	-0.422139	13	4.10E-14	9.40E-20	0.30129	0.72343	Landrace/Maize
CG	4	115252782	115253682	2.90E-40	-0.518767	22	4.90E-14	4.20E-46	0.32845	0.84721	Landrace/Maize
CG	5	128733898	128734031	5.80E-25	-0.598428	15	3.70E-14	8.30E-31	0.04517	0.6436	Landrace/Maize
CG	6	38595247	38595674	1.30E-22	-0.626911	10	4.50E-14	1.90E-28	0.20709	0.834	Landrace/Maize
CG	7	62761820	62762345	1.30E-08	-0.420414	10	5.70E-14	1.90E-14	0.33855	0.75896	Landrace/Maize
CG	7	64772248	64772715	3.30E-22	-0.469152	18	4.40E-14	4.70E-28	0.3182	0.78735	Landrace/Maize
CG	7	155447763	155447948	8.00E-20	-0.523076	15	4.80E-14	1.20E-25	0.19891	0.72199	Landrace/Maize
CG	8	47411707	47411908	1.30E-21	-0.517679	17	4.20E-14	1.90E-27	0.12342	0.6411	Landrace/Maize
CG	8	73468304	73468796	4.50E-29	-0.460676	25	4.20E-14	6.50E-35	0.16005	0.62072	Landrace/Maize
CG	8	158869261	158869425	9.40E-28	-0.481222	14	4.20E-14	1.30E-33	0.19872	0.67994	Landrace/Maize
CG	9	68066594	68067048	9.20E-21	-0.407534	20	4.60E-14	1.30E-26	0.34429	0.75183	Landrace/Maize
CG	9	109521423	109521629	1.90E-15	-0.419609	16	4.40E-14	2.70E-21	0.14134	0.56095	Landrace/Maize
CG	9	119362624	119363049	3.50E-49	-0.642434	20	4.50E-14	5.00E-55	0.2363	0.87873	Landrace/Maize
CG	9	120589400	120589587	1.30E-12	-0.555591	9	4.70E-14	1.90E-18	0.0041728	0.55976	Landrace/Maize
CG	10	32816274	32816515	5.30E-28	-0.610838	14	4.30E-14	7.50E-34	0.20562	0.81646	Landrace/Maize
CG	10	51537551	51538517	3.10E-43	-0.498094	34	4.60E-14	4.50E-49	0.13715	0.63524	Landrace/Maize
CG	10	91847259	91847474	1.10E-27	-0.476379	18	4.60E-14	1.60E-33	0.23858	0.71496	Landrace/Maize
CG	10	110195408	110195624	4.80E-12	-0.42102	12	4.50E-14	6.90E-18	0.28525	0.70627	Landrace/Maize
CG	1	5703072	5703214	1.70E-22	-0.502844	14	4.40E-14	3.80E-28	0.25026	0.75311	Teosinte/Landrace
CG	1	32366480	32366777	3.20E-34	-0.593063	15	3.50E-14	7.50E-40	0.20462	0.79768	Teosinte/Landrace
CG	1	50011319	50011464	1.40E-14	-0.471477	9	4.40E-14	3.30E-20	0.28382	0.7553	Teosinte/Landrace
CG	1	50506066	50506262	1.10E-24	-0.423986	11	4.80E-14	2.70E-30	0.013744	0.43773	Teosinte/Landrace
CG	1	70217401	70217864	6.00E-28	-0.58252	13	3.60E-14	1.40E-33	0.25092	0.83344	Teosinte/Landrace
CG	1	81803786	81803871	6.80E-13	-0.462506	9	3.90E-14	1.60E-18	0.22784	0.69034	Teosinte/Landrace
CG	1	98784248	98784511	4.70E-45	-0.516908	18	3.00E-14	1.10E-50	0.40436	0.92127	Teosinte/Landrace
CG	1	127254663	127254800	2.40E-16	-0.525099	8	4.30E-14	5.70E-22	0.38975	0.91484	Teosinte/Landrace
CG	1	127255841	127256029	1.20E-08	-0.401694	10	4.10E-14	2.90E-14	0.38007	0.78176	Teosinte/Landrace
CG	1	128271818	128272245	9.10E-11	-0.46907	8	4.50E-14	2.10E-16	0.43209	0.90117	Teosinte/Landrace
CG	1	130473811	130474317	5.30E-99	-0.603162	36	2.00E-14	1.20E-104	0.32572	0.92888	Teosinte/Landrace
CG	1	130576644	130576812	1.70E-13	-0.410873	11	4.10E-14	4.00E-19	0.41794	0.82881	Teosinte/Landrace
CG	1	166625171	166625937	4.40E-49	-0.486035	30	5.10E-14	1.00E-54	0.22291	0.70895	Teosinte/Landrace
CG	1	190266998	190267338	2.60E-36	-0.481373	21	3.90E-14	6.10E-42	0.26052	0.74189	Teosinte/Landrace
CG	1	193699651	193699777	1.10E-21	-0.648312	8	4.80E-14	2.60E-27	0.16925	0.81757	Teosinte/Landrace
CG	1	215322526	215322824	2.00E-26	-0.421082	14	4.20E-14	4.60E-32	0.14997	0.57105	Teosinte/Landrace
CG	1	223058854	223059423	7.50E-53	-0.545168	27	4.10E-14	1.70E-58	0.2929	0.83807	Teosinte/Landrace
CG	1	223572879	223573089	5.00E-18	-0.535133	8	4.00E-14	1.20E-23	0.16273	0.69786	Teosinte/Landrace
CG	1	246988638	246989004	2.00E-34	-0.406157	26	3.10E-14	4.70E-40	0.15901	0.56516	Teosinte/Landrace
CG	1	255171226	255171404	2.80E-16	-0.447975	12	4.30E-14	6.50E-22	0.024723	0.4727	Teosinte/Landrace
CG	1	259922434	259922862	8.80E-82	-0.503271	39	3.30E-14	2.00E-87	0.051896	0.55517	Teosinte/Landrace
CG	1	262821951	262822285	1.30E-46	-0.44765	27	4.00E-14	3.00E-52	0.12977	0.57742	Teosinte/Landrace
CG	1	269309417	269309789	4.70E-89	-0.525523	25	5.40E-14	1.10E-94	0.030186	0.55571	Teosinte/Landrace
CG	1	300736935	300737138	1.20E-27	-0.543558	13	4.80E-14	2.80E-33	0.26549	0.80905	Teosinte/Landrace
CG	2	936498	936873	2.90E-39	-0.43557	26	4.20E-14	6.80E-45	0.1752	0.61077	Teosinte/Landrace
CG	2	8233416	8233932	2.50E-59	-0.41291	25	4.50E-14	5.80E-65	0.4905	0.90341	Teosinte/Landrace
CG	2	12563772	12564066	2.20E-16	-0.466498	12	3.50E-14	5.10E-22	0.16842	0.63492	Teosinte/Landrace
CG	2	19423440	19423631	2.10E-14	-0.444286	8	4.40E-14	5.00E-20	0.026707	0.47099	Teosinte/Landrace
CG	2	24290771	24290862	4.20E-20	-0.405994	8	4.10E-14	9.80E-26	0.032731	0.43872	Teosinte/Landrace
CG	2	36860029	36860110	1.30E-16	-0.479157	8	4.30E-14	3.10E-22	0.10927	0.58843	Teosinte/Landrace
CG	2	76079279	76079464	1.90E-27	-0.531369	14	5.00E-14	4.30E-33	0.2908	0.82217	Teosinte/Landrace
CG	2	105800260	105800679	1.90E-22	-0.635821	9	4.10E-14	4.50E-28	0.20461	0.84043	Teosinte/Landrace
CG	2	106082203	106082337	2.20E-12	-0.462506	8	4.50E-14	5.10E-18	0.10119	0.5637	Teosinte/Landrace
CG	2	114899891	114900415	2.90E-28	-0.480457	19	4.50E-14	6.80E-34	0.37641	0.85687	Teosinte/Landrace
CG	2	129009041	129009266	9.50E-33	-0.508648	14	3.70E-14	2.20E-38	0.22188	0.73053	Teosinte/Landrace
CG	2	198704127	198704218	9.00E-11	-0.415369	8	4.50E-14	2.10E-16	0.28388	0.69925	Teosinte/Landrace
CG	2	216044947	216045185	1.90E-19	-0.529299	9	4.50E-14	4.40E-25	0.38729	0.91659	Teosinte/Landrace
CG	2	242914915	242915268	2.60E-52	-0.552489	22	3.50E-14	6.10E-58	0.34494	0.89743	Teosinte/Landrace
CG	3	74796329	74796529	3.00E-15	-0.440012	10	4.00E-14	7.00E-21	0.21006	0.65007	Teosinte/Landrace
CG	3	75328478	75328898	5.80E-27	-0.431727	17	4.70E-14	1.30E-32	0.372	0.80373	Teosinte/Landrace
CG	3	75632355	75632552	2.70E-13	-0.448563	10	4.50E-14	6.20E-19	0.34888	0.79744	Teosinte/Landrace
CG	3	76734774	76734941	2.30E-25	-0.540764	17	4.20E-14	5.30E-31	0.12106	0.66182	Teosinte/Landrace
CG	3	83499044	83499186	3.30E-28	-0.502417	9	4.00E-14	7.70E-34	0.0046086	0.50703	Teosinte/Landrace
CG	3	92490741	92491097	4.30E-11	-0.452838	9	4.60E-14	1.00E-16	0.35451	0.80735	Teosinte/Landrace
