Chr	Start	end	Freq	
Chr1	1	1000000	12	Chr
Chr1	1000001	2000000	2	Chr
Chr1	2000001	3000000	1	Chr
Chr1	3000001	4000000	0	Chr
Chr1	4000001	5000000	0	Chr
Chr1	5000001	6000000	0	Chr
Chr1	6000001	7000000	2	Chr
Chr1	7000001	8000000	0	Chr
Chr1	8000001	9000000	1	Chr
Chr1	9000001	10000000	0	Chr
Chr1	10000001	11000000	1	Chr
Chr1	11000001	12000000	3	Chr
Chr1	12000001	13000000	0	Chr
Chr1	13000001	14000000	1	Chr
Chr1	14000001	15000000	2	Chr
Chr1	15000001	16000000	2	Chr
Chr1	16000001	17000000	0	Chr
Chr1	17000001	18000000	3	Chr
Chr1	18000001	19000000	1	Chr
Chr1	19000001	20000000	1	Chr
Chr1	20000001	21000000	1	Chr
Chr1	21000001	22000000	1	Chr
Chr1	22000001	23000000	1	Chr
Chr1	23000001	24000000	4	Chr
Chr1	24000001	25000000	1	Chr
Chr1	25000001	26000000	1	Chr
Chr1	26000001	27000000	0	Chr
Chr1	27000001	28000000	0	Chr
Chr1	28000001	29000000	1	Chr
Chr1	29000001	30000000	1	Chr
Chr1	30000001	31000000	0	Chr
Chr1	31000001	32000000	1	Chr
Chr1	32000001	33000000	0	Chr
Chr1	33000001	34000000	1	Chr
Chr1	34000001	35000000	7	Chr
Chr1	35000001	36000000	2	Chr
Chr1	36000001	37000000	1	Chr
Chr1	37000001	38000000	0	Chr
Chr1	38000001	39000000	2	Chr
Chr1	39000001	40000000	0	Chr
Chr1	40000001	41000000	0	Chr
Chr1	41000001	42000000	1	Chr
Chr1	42000001	43000000	0	Chr
Chr1	43000001	44000000	0	Chr
Chr1	44000001	45000000	0	Chr
Chr1	45000001	46000000	0	Chr
Chr1	46000001	47000000	1	Chr
Chr1	47000001	48000000	0	Chr
Chr1	48000001	49000000	0	Chr
Chr1	49000001	50000000	0	Chr
Chr1	50000001	51000000	1	Chr
Chr1	51000001	52000000	0	Chr
Chr1	52000001	53000000	1	Chr
Chr1	53000001	54000000	0	Chr
Chr1	54000001	55000000	0	Chr
Chr1	55000001	56000000	0	Chr
Chr1	56000001	57000000	0	Chr
Chr1	57000001	58000000	0	Chr
Chr1	58000001	59000000	1	Chr
Chr1	59000001	60000000	2	Chr
Chr1	60000001	61000000	2	Chr
