chrom	pos	Teo_JRIAL2T	Teo_JRIAL2S	Teo_JRIAL2R	Teo_JRIAL2Q	Teo_JRIAL2P	Teo_JRIAL2O	Teo_JRIAL2N	Teo_JRIAL2M	Teo_JRIAL2L	Teo_JRIAL2K	Teo_JRIAL2J	Teo_JRIAL2I	Teo_JRIAL2H	Teo_JRIAL2G	Teo_JRIAL2F	Teo_JRIAL2E	Teo_JRIAL2D	Teo_JRIAL2C	Teo_JRIAL2B	Teo_JRIAL2A	Maize_A632	Maize_B37	Maize_B73	Maize_B97	Maize_CML322	Maize_HP301	Maize_IL14	Maize_LH82	Maize_LH123HT	Maize_Mo17	Maize_Oh43	Maize_P39	Maize_PHZ51	Maize_Tx303
1	270459002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.9	NA	NA	NA	NA	1	NA	1	NA	NA	NA	0.857142857142857
1	270459004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	0.714285714285714	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA
1	270459005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	1	0.9	NA	NA	NA	NA	0.666666666666667	NA	1	NA	NA	NA	1
1	270459007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA
1	270459012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459013	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	1	0.909090909090909	NA	NA	NA	NA	1	NA	1	NA	NA	NA	1
1	270459014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA
1	270459024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.818181818181818	0.5	NA	NA	NA	1	NA	1	NA	NA	NA	1
1	270459026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA
1	270459030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.909090909090909	1	NA	NA	NA	1	NA	1	NA	NA	NA	0.857142857142857
1	270459032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA
1	270459042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459043	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	1	0.9	1	NA	NA	NA	1	NA	1	1	NA	NA	1
1	270459044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA
1	270459046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459047	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	0.7	1	NA	NA	NA	1	NA	1	1	NA	NA	1
1	270459048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA
1	270459051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459052	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.5	0.909090909090909	0.5	NA	NA	NA	1	NA	1	1	NA	NA	1
1	270459053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA
1	270459058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459059	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	1	NA	NA	1	0.833333333333333	NA	NA	NA	NA	1	NA	1	1	NA	NA	0.75
1	270459060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA
1	270459068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	270459069	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA	NA	NA	1	NA	1	1	NA	NA	1
1	270459070	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA
1	270459080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
