Type	chr	start	stop	q-value	mean_methylation_difference	#CpGs	p(MWU)	p(2D KS)	mean_Maize	mean_Lan	Compare
CG	1	209390	209725	2.90E-58	0.718428	20	3.50E-14	4.10E-64	0.77117	0.052741	landrace/maize
CG	1	403764	404173	1.40E-57	-0.451792	40	4.90E-14	1.90E-63	0.36637	0.81816	landrace/maize
CG	1	12931711	12931864	8.40E-06	0.421164	9	4.10E-14	1.20E-11	0.92036	0.4992	landrace/maize
CG	1	23271324	23271523	3.40E-21	0.66703	11	4.00E-14	4.80E-27	0.88703	0.22	landrace/maize
CG	1	23699397	23699599	4.30E-06	-0.503188	7	4.10E-14	6.10E-12	0.082376	0.58556	landrace/maize
CG	1	23699862	23699964	7.70E-08	-0.478218	9	4.70E-14	1.10E-13	0.08191	0.56013	landrace/maize
CG	1	28150862	28150994	1.40E-09	0.43668	11	4.70E-14	1.90E-15	0.71297	0.27629	landrace/maize
CG	1	29755729	29755930	5.90E-11	0.494337	9	4.50E-14	8.30E-17	0.77678	0.28244	landrace/maize
CG	1	33302028	33302160	1.60E-05	0.423813	9	4.20E-14	2.20E-11	0.84516	0.42135	landrace/maize
CG	1	55799156	55799240	4.00E-09	-0.404013	8	4.10E-14	5.60E-15	0.36541	0.76942	landrace/maize
CG	1	74751850	74751943	6.70E-06	0.54877	6	4.50E-14	9.40E-12	0.93906	0.39029	landrace/maize
CG	1	79905443	79905513	4.00E-08	0.486974	6	6.70E-13	5.60E-14	0.64409	0.15712	landrace/maize
CG	1	92210188	92210341	3.70E-09	0.403877	13	4.30E-14	5.30E-15	0.72521	0.32133	landrace/maize
CG	1	106083228	106083455	7.20E-23	-0.737442	8	3.90E-14	1.00E-28	0.041507	0.77895	landrace/maize
CG	1	112682609	112682684	2.10E-22	0.748015	8	4.90E-14	2.90E-28	0.86618	0.11817	landrace/maize
CG	1	130097052	130097236	6.70E-12	-0.402208	7	4.60E-14	9.40E-18	0.15022	0.55242	landrace/maize
CG	1	133241753	133241951	1.70E-06	0.407055	6	4.40E-14	2.30E-12	0.90927	0.50222	landrace/maize
CG	1	135668406	135669078	1.80E-91	0.527242	58	4.00E-14	2.60E-97	0.57417	0.046931	landrace/maize
CG	1	139460699	139460887	7.40E-12	0.643715	7	4.20E-14	1.00E-17	0.88316	0.23945	landrace/maize
CG	1	174115759	174115894	1.70E-12	0.505591	10	4.70E-14	2.30E-18	0.51267	0.0070748	landrace/maize
CG	1	180687660	180688045	2.60E-27	0.553289	15	4.20E-14	3.60E-33	0.75246	0.19917	landrace/maize
CG	1	183531423	183531698	0.00025	0.468672	8	4.40E-14	3.60E-10	0.90162	0.43295	landrace/maize
CG	1	183857613	183857742	6.00E-11	0.473904	10	4.20E-14	8.50E-17	0.61688	0.14298	landrace/maize
CG	1	186736977	186737222	1.10E-10	0.473565	8	4.50E-14	1.50E-16	0.73941	0.26585	landrace/maize
CG	1	186738185	186738395	1.60E-15	0.481102	16	3.90E-14	2.20E-21	0.84289	0.36179	landrace/maize
CG	1	199912396	199912510	3.10E-09	0.600802	6	5.20E-14	4.40E-15	0.8846	0.2838	landrace/maize
CG	1	221422470	221422664	2.90E-05	0.451146	9	7.50E-11	4.00E-11	0.9009	0.44975	landrace/maize
CG	1	223071125	223071288	1.20E-13	0.451691	16	4.20E-14	1.60E-19	0.88026	0.42857	landrace/maize
CG	1	223572835	223572989	2.40E-12	0.567002	8	4.60E-14	3.40E-18	0.8137	0.2467	landrace/maize
CG	1	260488043	260488241	3.90E-29	-0.540245	14	4.50E-14	5.60E-35	0.24499	0.78524	landrace/maize
CG	1	265252518	265252797	1.30E-13	0.566082	8	4.20E-14	1.90E-19	0.79475	0.22867	landrace/maize
CG	2	2482322	2482592	8.20E-05	0.42075	6	1.50E-13	1.20E-10	0.51572	0.094972	landrace/maize
CG	2	17681642	17681803	6.90E-05	0.405797	9	3.00E-07	9.80E-11	0.49623	0.090433	landrace/maize
CG	2	18546726	18546901	1.30E-19	-0.441598	10	4.30E-14	1.80E-25	0.45381	0.89541	landrace/maize
CG	2	37321751	37321963	3.10E-11	0.41258	12	4.50E-14	4.40E-17	0.54335	0.13077	landrace/maize
CG	2	44201490	44201676	6.60E-09	0.454821	12	4.20E-14	9.30E-15	0.86294	0.40812	landrace/maize
CG	2	48108367	48108553	1.80E-32	0.423724	20	3.90E-14	2.50E-38	0.76487	0.34115	landrace/maize
CG	2	53861787	53861979	3.70E-19	0.611742	10	4.30E-14	5.20E-25	0.85133	0.23958	landrace/maize
CG	2	78883966	78884066	3.50E-13	0.503587	7	4.00E-14	5.00E-19	0.62439	0.1208	landrace/maize
CG	2	94636550	94636925	3.10E-28	0.560669	20	5.00E-14	4.40E-34	0.8482	0.28753	landrace/maize
CG	2	103115702	103115962	1.10E-37	0.461622	17	5.00E-14	1.50E-43	0.46938	0.007758	landrace/maize
CG	2	104049639	104049908	1.40E-33	0.547278	21	4.80E-14	2.00E-39	0.86003	0.31276	landrace/maize
