Context	Comparsion	Chr_D	Start_D	end_D	Chr_F	Start_F	end_F	Feature	Overlap(bp)	POPA-POPB	Gene_ID	Chr	up_5k	Start	End	down_5k	Strand
CG	Teosinte/Maize	1	403764	404173	1	379107	415212	Intergenic	409	-0.683212	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	1028577	1028804	1	1025351	1030350	Gene_up_5K	227	-0.483075	Zm00001d027266	1	1022058	1027058	1030126	1035126	+
CG	Teosinte/Maize	1	1235250	1235303	1	1234725	1236227	Exon	53	-0.446108	Zm00001d027276	1	1221063	1226063	1236227	1241227	-
CG	Teosinte/Maize	1	1235250	1235303	1	1234725	1236227	Exon	53	-0.446108	Zm00001d027277	1	1226545	1231545	1236335	1241335	-
CG	Teosinte/Maize	1	1259388	1259482	1	1241336	1487438	Intergenic	94	-0.433542	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	3486420	3486817	1	3484406	3489405	Gene_up_5K	397	-0.428215	Zm00001d027351	1	3477848	3482848	3487232	3492232	+
CG	Teosinte/Maize	1	4404097	4404253	1	4400004	4405003	Gene_down_5K	156	-0.640519	Zm00001d027399	1	4397312	4402312	4404440	4409440	+
CG	Teosinte/Maize	1	4424644	4424880	1	4421060	4426059	Gene_down_5K	236	-0.581788	Zm00001d027401	1	4412538	4417538	4425832	4430832	-
CG	Teosinte/Maize	1	4734958	4735605	1	4735174	4736413	Exon	431	-0.455807	Zm00001d027412	1	4719456	4724456	4736832	4741832	-
CG	Teosinte/Maize	1	5703052	5703244	1	5699273	5704272	Gene_up_5K	192	-0.603508	Zm00001d027458	1	5696680	5701680	5704055	5709055	-
CG	Teosinte/Maize	1	5713627	5713733	1	5712787	5717786	Gene_up_5K	106	-0.449644	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	8303347	8303453	1	8303006	8303442	Exon	95	-0.406153	Zm00001d027572	1	8297347	8302347	8308349	8313349	+
CG	Teosinte/Maize	1	10492995	10493303	1	10493057	10494523	Intron	246	-0.410751	Zm00001d027665	1	10487323	10492323	10572503	10577503	+
CG	Teosinte/Maize	1	12104450	12104738	1	12104447	12104633	Exon	183	-0.448997	Zm00001d027719	1	12098775	12103775	12105421	12110421	+
CG	Teosinte/Maize	1	14029416	14029910	1	14028184	14030722	Exon	494	-0.547573	Zm00001d027807	1	14007690	14012690	14030730	14035730	-
CG	Teosinte/Maize	1	14073638	14073730	1	14035731	14076195	Intergenic	92	-0.536677	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	18466667	18467347	1	18462292	18467291	Gene_down_5K	624	-0.427705	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	23121918	23122033	1	23118720	23122058	Exon	115	-0.476165	Zm00001d028111	1	23113720	23118720	23122921	23127921	-
CG	Teosinte/Maize	1	27256889	27257110	1	27256288	27257810	Exon	221	-0.491478	Zm00001d028225	1	27251288	27256288	27266967	27271967	+
CG	Teosinte/Maize	1	30026379	30026698	1	30024565	30085856	Intergenic	319	-0.459118	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	34971533	34971743	1	34970270	34975269	Gene_up_5K	210	-0.422175	Zm00001d028438	1	34965608	34970608	34979598	34984598	+
CG	Teosinte/Maize	1	36898441	36898592	1	36897843	36899423	Exon	151	-0.51825	Zm00001d028493	1	36889428	36894428	36899646	36904646	-
CG	Teosinte/Maize	1	49361448	49361974	1	49360708	49362103	Intron	526	-0.422729	Zm00001d028875	1	49350748	49355748	49389986	49394986	-
CG	Teosinte/Maize	1	50010905	50011516	1	50001376	50019921	Intergenic	611	-0.495068	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	50506189	50506331	1	50506189	50506710	Exon	142	-0.494151	Zm00001d028906	1	50500948	50505948	50506710	50511710	+
CG	Teosinte/Maize	1	50506761	50506904	1	50506711	50511710	Gene_down_5K	143	-0.472562	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	69844897	69845287	1	69844542	69845321	Intron	390	-0.410624	Zm00001d029422	1	69839292	69844292	69855894	69860894	+
CG	Teosinte/Maize	1	70217453	70217899	1	70213082	70218081	Gene_down_5K	446	-0.579511	Zm00001d029429	1	70206480	70211480	70219160	70224160	+
CG	Teosinte/Maize	1	95965622	95966550	1	95965864	95966802	Exon	686	-0.493939	Zm00001d029946	1	95957495	95962495	95966999	95971999	+
CG	Teosinte/Maize	1	98968472	98968824	1	98968257	98968769	Intron	297	-0.655557	Zm00001d030010	1	98961769	98966769	98969288	98974288	+
CG	Teosinte/Maize	1	106182380	106182580	1	106180425	106186974	Exon	200	-0.666846	Zm00001d030108	1	106175425	106180425	106186974	106191974	+
CG	Teosinte/Maize	1	109471599	109471942	1	109471575	109471977	Exon	343	-0.417346	Zm00001d030159	1	109464384	109469384	109473198	109478198	-
CG	Teosinte/Maize	1	115465055	115465118	1	115461163	115466162	Gene_up_5K	63	-0.667605	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	118877149	118877465	1	118828597	118879142	Exon	316	-0.44249	Zm00001d030282	1	118823597	118828597	118879142	118884142	-
CG	Teosinte/Maize	1	125808073	125808659	1	125688150	126088182	Intergenic	586	-0.412172	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	127254313	127255376	1	127232818	127333707	Intergenic	1063	-0.489269	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	128271743	128272044	1	127972876	128506543	Intergenic	301	-0.502083	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	129034932	129035163	1	129015407	129139256	Intergenic	231	-0.413283	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	129304962	129305232	1	129279591	129311517	Intergenic	270	-0.637668	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	130306823	130307623	1	130199336	130323300	Intergenic	800	-0.604749	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	130473811	130474398	1	130375496	130574679	Intergenic	587	-0.432129	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	131051383	131051539	1	130585007	131259266	Intergenic	156	-0.55277	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	139679170	139679979	1	139658347	139692428	Intergenic	809	-0.433815	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	140271065	140271322	1	140248658	140359655	Intergenic	257	-0.774463	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	147358553	147359133	1	147354477	147359476	Gene_down_5K	580	-0.480909	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	149114621	149114845	1	149028594	149238613	Intergenic	224	-0.615089	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	164215919	164216311	1	164210411	164360588	Intergenic	392	-0.555599	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	166625235	166625937	1	166623878	166628877	Gene_down_5K	702	-0.560595	Zm00001d030900	1	166619511	166624511	166627207	166632207	+
CG	Teosinte/Maize	1	175982994	175983352	1	175982528	175983357	Exon	358	-0.522409	Zm00001d031073	1	175975669	175980669	175983357	175988357	-
CG	Teosinte/Maize	1	176782820	176782972	1	176782700	176783527	Exon	152	-0.438136	Zm00001d031091	1	176777700	176782700	176787696	176792696	-
CG	Teosinte/Maize	1	182828637	182828833	1	182827506	182832505	Gene_up_5K	196	-0.478039	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	183244094	183244529	1	183244085	183249084	Gene_down_5K	435	-0.531705	Zm00001d031239	1	183224237	183229237	183244599	183249599	-
CG	Teosinte/Maize	1	190556939	190557386	1	190556791	190557328	Exon	389	-0.400876	Zm00001d031453	1	190551791	190556791	190558314	190563314	-
CG	Teosinte/Maize	1	193316951	193317128	1	193316763	193318712	Exon	177	-0.413204	Zm00001d031533	1	193311763	193316763	193318712	193323712	+
CG	Teosinte/Maize	1	193699506	193699932	1	193697233	193702232	Gene_down_5K	426	-0.562601	Zm00001d031540	1	193693635	193698635	193701525	193706525	+
CG	Teosinte/Maize	1	195673064	195673342	1	195672618	195673283	Exon	219	-0.482033	Zm00001d031593	1	195667265	195672265	195678558	195683558	+
CG	Teosinte/Maize	1	215322236	215322824	1	215255000	215343086	Intergenic	588	-0.451306	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	221570226	221570573	1	221569810	221570383	Intron	157	-0.473775	Zm00001d032308	1	221563089	221568089	221571245	221576245	+
CG	Teosinte/Maize	1	221624159	221624311	1	221576246	221625344	Intergenic	152	-0.49921	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	221759702	221760048	1	221703698	221826551	Intergenic	346	-0.435394	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	222266748	222267143	1	222266898	222267470	Exon	245	-0.536947	Zm00001d032322	1	222258901	222263901	222267470	222272470	+
CG	Teosinte/Maize	1	223058854	223059514	1	223042624	223120104	Intergenic	660	-0.46885	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	224255690	224256001	1	224248010	224256236	Intron	311	-0.461956	Zm00001d032373	1	224239775	224244775	224257054	224262054	-
CG	Teosinte/Maize	1	243593035	243593400	1	243537174	243606881	Intergenic	365	-0.536783	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	246988631	246989240	1	246988429	246989769	Exon	609	-0.436456	Zm00001d033012	1	246983429	246988429	246989769	246994769	+
CG	Teosinte/Maize	1	250956157	250956929	1	250639312	250960876	Intergenic	772	-0.555811	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	262570959	262571091	1	262566608	262571607	Gene_down_5K	132	-0.419574	Zm00001d033420	1	262564031	262569031	262571498	262576498	+
CG	Teosinte/Maize	1	269309531	269309978	1	269308777	269310072	Exon	447	-0.732918	Zm00001d033632	1	269303497	269308497	269321829	269326829	+
CG	Teosinte/Maize	1	271709765	271710127	1	271705459	271710875	Exon	362	-0.496552	Zm00001d033704	1	271699791	271704791	271710881	271715881	-
CG	Teosinte/Maize	1	272130562	272131352	1	272130665	272131100	Exon	435	-0.748138	Zm00001d033718	1	272125665	272130665	272132998	272137998	-
CG	Teosinte/Maize	1	272678028	272678680	1	272677505	272678600	Exon	572	-0.42068	Zm00001d033745	1	272672505	272677505	272681013	272686013	-
CG	Teosinte/Maize	1	275588742	275589058	1	275588684	275590761	Intron	316	-0.409562	Zm00001d033843	1	275582872	275587872	275609679	275614679	+
CG	Teosinte/Maize	1	275818319	275818741	1	275762103	275834809	Intergenic	422	-0.43486	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	1	284753189	284753269	1	284752325	284753825	Exon	80	-0.427669	Zm00001d034133	1	284747325	284752325	284756712	284761712	+
CG	Teosinte/Maize	1	287657346	287657607	1	287657074	287658073	Exon	261	-0.466789	Zm00001d034240	1	287649011	287654011	287658261	287663261	+
CG	Teosinte/Maize	1	291515812	291515961	1	291514616	291516274	Exon	149	-0.550605	Zm00001d034385	1	291505737	291510737	291518900	291523900	-
CG	Teosinte/Maize	1	300926179	300926355	1	300925472	300926636	Exon	176	-0.40003	Zm00001d034730	1	300920472	300925472	300932654	300937654	+
CG	Teosinte/Maize	1	306081823	306082162	1	306079844	306084843	Gene_up_5K	339	-0.415509	Zm00001d034933	1	306074959	306079959	306082079	306087079	+
CG	Teosinte/Maize	2	936506	936873	2	935978	937526	Exon	367	-0.545612	Zm00001d001788	2	930639	935639	948444	953444	+
CG	Teosinte/Maize	2	9304275	9304449	2	9304229	9304612	Exon	174	-0.425334	Zm00001d002275	2	9297717	9302717	9316367	9321367	+
CG	Teosinte/Maize	2	10768947	10769931	2	10767640	10772639	Gene_down_5K	984	-0.464602	Zm00001d002357	2	10763115	10768115	10773054	10778054	-
CG	Teosinte/Maize	2	17745007	17745397	2	17744486	17745468	Exon	390	-0.418616	Zm00001d002641	2	17739486	17744486	17748716	17753716	-
CG	Teosinte/Maize	2	19423196	19423652	2	19420376	19425375	Gene_up_5K	456	-0.561166	Zm00001d002694	2	19416000	19421000	19428059	19433059	+
CG	Teosinte/Maize	2	25252573	25252738	2	25248591	25253590	Gene_down_5K	165	-0.410086	NA	NA	NA	NA	NA	NA	NA
