Context	Comparsion	Chr_D	Start_D	end_D	meth(PopA-PopB)	Chr_F	Start_F	end_F	Feature	Overlap(bp)
CG	Landrace/Maize	1	209390	209725	0.711504	1	204979	209978	Gene_down_5k	335
CG	Landrace/Maize	1	403764	404173	-0.46218	1	396833	415212	Intergenic	409
CG	Landrace/Maize	1	3036286	3036640	0.533661	1	3035575	3036912	Exon	354
CG	Landrace/Maize	1	23270724	23270855	0.5664	1	23270018	23275017	Gene_down_5k	131
CG	Landrace/Maize	1	23699553	23699964	-0.454894	1	23692160	23708445	TE	411
CG	Landrace/Maize	1	33301953	33302236	0.404933	1	33298345	33303344	Gene_down_5k	283
CG	Landrace/Maize	1	55798226	55798389	-0.445347	1	55793606	55798605	Gene_down_5k	163
CG	Landrace/Maize	1	55799156	55799246	-0.406887	1	55751939	55800443	TE	90
CG	Landrace/Maize	1	106083228	106083498	-0.753319	1	106077472	106085614	Intergenic	270
CG	Landrace/Maize	1	117984701	117984877	-0.416798	1	117983045	117987570	Intergenic	176
CG	Landrace/Maize	1	135668406	135669113	0.553038	1	135658064	135712526	TE	707
CG	Landrace/Maize	1	170397818	170398457	0.407597	1	170393606	170399140	Intergenic	639
CG	Landrace/Maize	1	174115759	174115894	0.465113	1	174113447	174118446	Gene_down_5k	135
CG	Landrace/Maize	1	180687660	180688045	0.577698	1	180686788	180701300	Intergenic	385
CG	Landrace/Maize	1	183857613	183857742	0.449447	1	183855040	183864955	TE	129
CG	Landrace/Maize	1	223071125	223071288	0.468586	1	223070234	223078949	TE	163
CG	Landrace/Maize	1	243672038	243672247	0.517396	1	243667038	243674721	Intergenic	209
CG	Landrace/Maize	1	260487933	260488241	-0.512456	1	260487352	260490951	Intergenic	308
CG	Landrace/Maize	1	265252518	265252797	0.583634	1	265249173	265254172	Gene_up_5k	279
CG	Landrace/Maize	2	5442678	5444276	0.41497	2	5443371	5448370	Gene_up_5k	905
CG	Landrace/Maize	2	37321751	37321963	0.42773	2	37318332	37323331	Gene_down_5k	212
CG	Landrace/Maize	2	44201427	44201649	0.508948	2	44200146	44205145	Gene_up_5k	222
CG	Landrace/Maize	2	48108294	48108578	0.415719	2	48105796	48109179	TE	284
CG	Landrace/Maize	2	53861826	53861979	0.623518	2	53860075	53865074	Gene_up_5k	153
CG	Landrace/Maize	2	68502280	68502351	0.631936	2	68495167	68512579	TE	71
CG	Landrace/Maize	2	76079314	76079533	0.459423	2	76076377	76081376	Gene_down_5k	219
