DMR_Chr	DMR_Start	DMR_End	DMR_Comparison	DMR_Context	Gene_Chr	Gene_Start	Gene_End	Gene_Chain	Gene_ID	Gene_type	DMR_Gene_Overlap_size	Feature_Chr	Feature_Start	Feature_End	Feature	DMR_Feature_Overlap_size
1	209390	209725	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	204979	209978	Gene_down_5k	335
1	209390	209725	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	205716	210715	Gene_up_5k	335
1	209390	209725	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	209114	220714	TE	335
1	403764	404173	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	396833	415212	Intergenic	409
1	12931711	12931864	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	12930017	12948328	TE	153
1	23271324	23271523	Landrace/Maize	CG	1	23270825	23271421	-	Zm00001d028116	gene	97	1	23270825	23271421	Exon	97
1	23271324	23271523	Landrace/Maize	CG	1	23270825	23271421	-	Zm00001d028116	gene	97	1	23270018	23275017	Gene_down_5k	199
1	23271324	23271523	Landrace/Maize	CG	1	23270825	23271421	-	Zm00001d028116	gene	97	1	23270786	23275785	Gene_up_5k	199
1	23271324	23271523	Landrace/Maize	CG	1	23270825	23271421	-	Zm00001d028116	gene	97	1	23271422	23276421	Gene_up_5k	101
1	23699397	23699964	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	23692160	23708445	TE	567
1	28150862	28150994	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	28143143	28154418	TE	132
1	29755729	29755930	Landrace/Maize	CG	1	29755731	29755833	+	ENSRNA049473755	ncRNA_gene	102	1	29750731	29755730	Gene_up_5k	1
1	29755729	29755930	Landrace/Maize	CG	1	29755731	29755833	+	ENSRNA049473755	ncRNA_gene	102	1	29755731	29755833	Exon	102
1	29755729	29755930	Landrace/Maize	CG	1	29755731	29755833	+	ENSRNA049473755	ncRNA_gene	102	1	29755834	29760833	Gene_down_5k	96
1	33302028	33302160	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	33298345	33303344	Gene_down_5k	132
1	55799156	55799240	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	55751939	55800443	TE	84
1	92210188	92210341	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	92205799	92212233	Intergenic	153
1	106083228	106083455	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	106077472	106085614	Intergenic	227
1	112682609	112682684	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	112678092	112684777	TE	75
1	112682609	112682684	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	112682549	112687548	Gene_down_5k	75
1	112682609	112682684	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	112675776	112717001	TE	75
1	135668406	135669078	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	135658064	135712526	TE	672
1	174115759	174115894	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	174113447	174118446	Gene_down_5k	135
1	174115759	174115894	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	174114292	174119291	Gene_up_5k	135
1	174115759	174115894	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	174115127	174133882	TE	135
1	180687660	180688045	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	180686788	180701300	Intergenic	385
1	183531423	183531698	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	183524174	183538405	TE	275
1	183857613	183857742	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	183855040	183864955	TE	129
1	186736977	186737222	Landrace/Maize	CG	1	186729080	186739316	+	Zm00001d031338	gene	245	NA	NA	NA	NA	NA
1	221422470	221422664	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	221405902	221442465	TE	194
1	223071125	223071288	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	223070234	223078949	TE	163
1	223572835	223572989	Landrace/Maize	CG	1	223545282	223577431	-	Zm00001d032353	gene	154	1	223572548	223575823	Intron	154
1	223572835	223572989	Landrace/Maize	CG	1	223545282	223577431	-	Zm00001d032353	gene	154	1	223567275	223578089	TE	154
1	260488043	260488241	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	260487352	260490951	Intergenic	198
1	265252518	265252797	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	1	265249173	265254172	Gene_up_5k	279
2	17681642	17681803	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	17678040	17683039	Gene_up_5k	161
2	18546726	18546901	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	18545415	18550414	Gene_up_5k	175
2	37321751	37321963	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	37318332	37323331	Gene_down_5k	212
2	37321751	37321963	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	37320255	37360695	TE	212
2	44201490	44201676	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	44200146	44205145	Gene_up_5k	186
2	44201490	44201676	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	44200629	44205628	Gene_down_5k	186
2	48108367	48108553	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	48105796	48109179	TE	186
2	48108367	48108553	Landrace/Maize	CG	NA	NA	NA	NA	NA	NA	NA	2	48090206	48113408	TE	186
2	53861787	53861979	Landrace/Maize	CG	2	53861070	53867710	-	Zm00001d003679	gene	192	2	53861653	53862196	Exon	192
