chr	start	end	length	abs_summit	pileup	#NAME?	fold_enrichment	#NAME?	name
chr1	979625	979925	301	979762	25	16.33406	6.93496	12.62363	o2_peak_1
chr1	1255485	1255926	442	1255675	31	21.6865	8.12997	17.8653	o2_peak_2
chr1	3033670	3034148	479	3033926	72	74.19624	19.20551	69.73318	o2_peak_3
chr1	3072823	3073087	265	3072957	21	13.10521	6.16665	9.4769	o2_peak_4
chr1	3171146	3171434	289	3171290	22	15.87062	7.41757	12.17133	o2_peak_5
chr1	3190629	3190910	282	3190753	10	4.60481	3.37801	1.54669	o2_peak_6
chr1	3463900	3464258	359	3464074	31	21.6865	8.12997	17.8653	o2_peak_7
chr1	3662794	3663149	356	3662950	38	36.97741	13.85209	32.92857	o2_peak_8
chr1	3728916	3729287	372	3729104	27	21.47767	9.10625	17.66113	o2_peak_9
chr1	3735895	3736161	267	3736052	14	8.20313	4.87835	4.7625	o2_peak_10
chr1	4234210	4234681	472	4234449	84	79.75002	17.29493	75.22886	o2_peak_11
chr1	4440603	4441095	493	4440862	86	106.57176	28.77993	101.77429	o2_peak_12
chr1	4595646	4595910	265	4595768	18	11.91629	6.17924	8.3271	o2_peak_13
chr1	4791981	4792312	332	4792181	20	13.91006	6.82969	10.26263	o2_peak_14
chr1	5015797	5016157	361	5015991	25	9.06185	3.78341	5.57951	o2_peak_15
chr1	5218344	5218643	300	5218512	22	12.8888	5.85142	9.27066	o2_peak_16
chr1	5379396	5379703	308	5379537	13	8.52979	5.26346	5.07777	o2_peak_17
chr1	7355962	7356367	406	7356165	61	68.25058	20.96459	63.84834	o2_peak_18
chr1	7551857	7552144	288	7552085	13	6.72771	4.19896	3.37964	o2_peak_19
chr1	7915991	7916493	503	7916247	34	33.24068	13.28821	29.23689	o2_peak_20
chr1	8096098	8096362	265	8096280	13	7.47292	4.63125	4.07625	o2_peak_21
chr1	8186170	8186532	363	8186439	125	11.8858	1.98002	8.29847	o2_peak_22
chr1	8626094	8626381	288	8626239	21	14.11262	6.70264	10.45663	o2_peak_23
chr1	8674772	8675040	269	8674895	14	10.71692	6.3874	7.16532	o2_peak_24
chr1	8815838	8816151	314	8816002	20	14.39301	7.10091	10.73087	o2_peak_25
chr1	9993677	9994022	346	9993861	32	20.93929	7.54878	17.13438	o2_peak_26
chr1	10070425	10070690	266	10070552	19	13.36046	6.76277	9.7258	o2_peak_27
chr1	10990488	10990944	457	10990722	37	29.48383	10.2779	25.53417	o2_peak_28
chr1	11374314	11374600	287	11374446	21	14.93744	7.15491	11.26169	o2_peak_29
chr1	12247450	12247768	319	12247605	23	13.02814	5.7279	9.40074	o2_peak_30
chr1	12421389	12421818	430	12421584	48	38.20228	11.14269	34.13848	o2_peak_31
chr1	12850706	12850970	265	12850847	16	10.0107	5.5288	6.48759	o2_peak_32
chr1	15819074	15819338	265	15819212	17	10.95191	5.85402	7.3943	o2_peak_33
chr1	16702522	16702861	340	16702705	16	12.89622	7.23905	9.27521	o2_peak_34
chr1	17494233	17494728	496	17494440	29	18.93741	7.29534	15.1704	o2_peak_35
chr1	17667363	17667767	405	17667554	31	24.33826	9.45059	20.46957	o2_peak_36
chr1	19664898	19665449	552	19665226	34	36.03991	14.90393	32.00183	o2_peak_37
chr1	22379586	22380086	501	22379837	66	56.52531	13.63247	52.24565	o2_peak_38
chr1	22893686	22894045	360	22893866	29	20.628	8.11413	16.82922	o2_peak_39
chr1	22974793	22975227	435	22975016	57	52.49384	14.73558	48.26023	o2_peak_40
chr1	24048531	24048863	333	24048692	24	14.65269	6.31855	10.98421	o2_peak_41
chr1	24600316	24600720	405	24600503	32	19.02674	6.7145	15.25531	o2_peak_42
chr1	25210719	25211033	315	25210850	25	14.28863	5.94753	10.62961	o2_peak_43
chr1	25635033	25635396	364	25635194	31	20.23898	7.45267	16.44485	o2_peak_44
chr1	25741566	25742068	503	25741805	43	34.05008	10.69983	30.03774	o2_peak_45
chr1	25983530	25983849	320	25983691	32	33.22299	14.05228	29.21982	o2_peak_46
chr1	26446254	26446575	322	26446456	12	6.50582	4.2279	3.18028	o2_peak_47
