Context	Chr	Start	End	Comparison	Hyper/Hypo	JRIAL2A	JRIAL2B	JRIAL2C	JRIAL2D	JRIAL2E	JRIAL2F	JRIAL2G	JRIAL2H	JRIAL2I	JRIAL2J	JRIAL2K	JRIAL2L	JRIAL2M	JRIAL2N	JRIAL2O	JRIAL2P	JRIAL2Q	JRIAL2R	JRIAL2S	JRIAL2T	AMES-8235	PI-620767	PI-620773	PI-620774	PI-620784	PI-620785	PI-620797	PI-620819	PI-620821	PI-620834	PI-620842	PI-620846	PI-620856	PI-620859	PI-620860	PI-628503	PI-628514	A632	B37	B73	B97	CML322	HP301	IL14	LH123HT	LH82	Mo17	Oh43	P39	PHZ51	Tx303
CG	1	176352	177236	Teosinte/Maize	Hypo	0.902781955	0.932940051	0.958351049	0.937611471	0.962783447	0.346821885	0.923948249	0.941693723	0.954844523	0.920661673	0.941325439	0.922839506	0.930873888	0.865797803	0.965831444	0.949107143	0.969144144	0.957667835	0.960207625	0.94462482	0.959325397	0.95787037	0.989542484	0.169154457	0.475733855	0.936134102	0.965517241	0.948333333	0.956280193	0.530702528	0.698896499	0.092026578	0.934027778	0.947232529	0.986486486	0.970238095	0.930555556	0.013764881	0.898839977	0.966242844	0.018939394	0.02707053	0.903344034	0.908900348	0.04991276	0.007352941	0.959398883	0.897978684	0.958009994	0.0185	0
CG	1	180304	181274	Teosinte/Maize	Hypo	0.943518519	0.947719217	0.917927682	0.966879252	0.942932489	0.241854094	0.942957656	0.939146825	0.928976138	0.918415351	0.935998878	0.901436442	0.943219462	0.833089599	0.957320226	0.786623021	0.425425563	0.925175592	0.951455702	0.905952381	0.91091954	0.969246032	0.25275842	0.02027027	0.104956268	0.976630652	0.926785714	0.695175439	0.479022989	0.483637874	0.942267172	0.909448622	0.903846154	0.960447761	0.340972222	0.984463277	0.393276515	0.016276042	0.002380952	0.909697511	0.015079365	0.017957568	0.045516437	0.891170256	0.905885943	0.006140351	0.950115332	0.909718458	0.85212766	0.021805007	0.015402735
CG	1	209303	209725	Teosinte/Maize	Hypo	0.847172619	0.891509402	0.964213564	0.948536456	0.920503585	0.900444749	0.912198828	0.950902184	0.940751504	0.857371536	0.932459115	0.905715639	0.904255319	0.874162946	0.917170894	0.925272676	0.944050676	0.954101816	0.946200881	0.934468824	0.871404276	0.897959184	0.878153345	0.951550388	0.667816092	0.889166667	0.928571429	0.720720721	0.961437908	0.879251701	0.971428571	0.837931034	0.722222222	0.698199023	0.988372093	0.904923325	0.853535354	0.033272727	0.03436853	0.041666667	0	0.018018018	0.015503876	0.019927081	0.032520325	0.013207547	0.578792261	0.016798942	0	0.010638298	0.106589147
CG	1	210119	210619	Teosinte/Maize	Hypo	0.851354516	0.446832518	0.873667266	0.876362945	0.430597891	0.564086337	0.926914804	0.912162794	0.794601942	0.926452531	0.692352229	0.275483845	0.908169935	0.662365255	0.680017882	0.953377911	0.893108281	0.920757139	0.591578181	0.798037876	0	0.285055724	0	0.195026455	0	0	0	0.331176999	0.164285714	0	0	0	0	0.01461039	0	0.511949686	0.02020202	0.010661875	0.006666667	0.011494253	0	0.007359307	0	0.002289123	0.001818182	0	0.543499964	0.002525253	0.01884058	0.107843137	0
CG	1	214744	215498	Teosinte/Maize	Hypo	0.890268759	0.915802469	0.944315245	0.830659141	0.947268365	0.946595072	0.929961008	0.949620565	0.933959493	0.942225403	0.936490336	0.422494326	0.971258035	0.933246098	0.910476261	0.924903229	0.909949452	0.961115075	0.948965283	0.915444531	0.649537037	0.21577381	0.760363248	0.270833333	0.872427035	0.946759259	0.957352941	0.466620879	0.368569094	0.674845679	0.503571429	0.213667582	0.192307692	0.934210526	0.883928571	0.980555556	0.451766513	0.256495202	0.239321761	0.1028335	0	0.383457385	0.242137829	0.210423189	0.182359307	0.268508467	0.898076529	0.00140056	0.205411718	0	0.291161933
CG	1	262589	263454	Teosinte/Maize	Hypo	0.91907678	0.938028766	0.883840741	0.941035956	0.927833032	0.879328165	0.936945435	0.935719107	0.916238701	0.889906658	0.960433467	0.838634697	0.934026776	0.895217056	0.939278474	0.776461834	0.3934375	0.928902546	0.949776052	0.952010582	0.004045307	0.011111111	0.013283208	0.006422018	0.011445783	0.346813372	0.003401361	0.016203704	0.005050505	0	0.00877193	0.943661972	0.007936508	0.008996212	0.005782313	0.003606443	0.002747253	0.003968254	0.010996564	0.003407915	0.007075472	0.000736377	0.000925926	0.005772185	0.006788351	0	0.020833333	0.001035197	0.003861004	0.003144654	0.010408783
CG	1	277368	278291	Teosinte/Maize	Hypo	0.00320878	NA	0.215746771	0.534155474	0.007575758	0.00255102	0.928519	0.24721495	0.942441444	0.943175853	0.915838645	0.005223881	0.896469622	0.616546725	0.519909443	0.777499408	0.004201681	0.55658939	0.313759598	0.353297118	0	0.005997475	0	0	0.00210084	0.322963578	NA	0	0.005208333	0.008446712	0.0025	0.0014062	0.00129199	0.002525253	0.008064516	0.613074713	0.006834532	0.004139073	0.002397602	0.001962323	0.003693182	0.002724955	0.001798561	0.019155844	0.004269972	0.001449275	0.004273504	0.003321678	NA	0.004420518	0.003019248
CG	1	278740	278799	Teosinte/Maize	Hypo	0	NA	0.220555556	0.556746032	NA	0	0.934444444	0.061746032	1	0.955128205	0.939393939	0	0.958333333	0.428571429	0.431111111	0.580555556	0	0.518095238	0.5	0.427698413	0	NA	NA	0	0	0.285714286	NA	0	0	0	NA	0.011363636	0	0	0.019230769	0.5	0	0	0	0	0	0	0	0.016666667	0	0.022222222	0	0	NA	0	0
CG	1	279361	280346	Teosinte/Maize	Hypo	0.126438396	NA	0.224058957	0.534539101	0	0.004083885	0.932224044	0.258557773	0.927390606	0.937226277	0.950557244	0.003401361	0.95795107	0.706770833	0.489952989	0.534710551	0.001754386	0.588414903	0.629781421	0.471411631	0.006472492	0.008884675	0.015676568	0	0.013888889	0.463933431	NA	0	0.007142857	0.004444444	0	0.001652893	0.058163265	0.012230216	0.003875969	0.264619883	0.00462963	0.009333333	0.016203704	0.020080321	0.007460317	0.011469222	0.007973058	0.002298851	0.002338129	0.003953108	0.024311927	0.005000131	NA	0.008591065	0.004872537
CG	1	403764	404173	Teosinte/Maize	Hyper	0.070749465	0.099330076	0.11069996	0.120251394	0.078340151	0.109228832	0.114131694	0.068408648	0.243161758	0.063611686	0.098360166	0.1084071	0.164792193	0.123562539	0.24519671	0.175851104	0.121573334	0.173132503	0.10324219	0.117813526	0.161155851	0.137515152	0.913789573	0.815315315	0.122157781	0.210261817	0.119130832	0.179672751	0.158286396	0.144697328	0.810429191	0.076955674	0.209231946	0.114580439	0.359137054	0.812238931	0.815679443	0.885714286	0.935186593	0.952631725	0.932042348	0.883960957	0.044108255	0.82352692	0.6486661	0.924958788	0.890955891	0.891742829	0.864125513	0.9179838	0.896259635
CG	1	1028577	1028804	Teosinte/Maize	Hyper	0.004545455	0.609404762	0.689880952	0.278446115	0.263055556	0.378090521	0.322619048	0	0.503538961	0.275277778	0.177698413	0.520714286	0.687367725	0.400297619	0.262222222	0.02281746	0.391478697	0.36047619	0.598333333	0.022619048	0.906666667	0.907407407	0.736111111	0.841666667	0.773333333	0.795833333	0.226666667	0.692857143	0.712121212	0.8	0.691666667	0.761538462	0	0.486215539	0.75	0.666666667	0.85	0.819607843	0.83474026	0.840714286	0.689473684	0.902661064	0.880178571	0.907974482	0.876651127	0.715151515	0.839139292	0.801282051	0.854166667	0.780701754	0.842794486
CG	1	1235250	1235303	Teosinte/Maize	Hyper	0.125757576	0.145021645	0.139393939	0.075757576	0.041666667	0.022727273	0.015151515	0.02020202	0.027272727	0.060606061	0.261038961	0.018181818	0.018181818	0.172222222	0.055555556	0.333333333	0.407407407	0.15	0.357142857	0.116125541	0.694444444	0.787878788	0.625	0.206060606	0.066017316	0.270833333	0.223051948	0.666666667	0.444444444	0.407407407	0.430555556	0.495454545	0.646969697	0.134920635	0	0.422916667	0.493939394	0.787878788	0	0.521166208	0.608333333	0.279599567	0.063636364	0.576082251	0.553535354	0.924242424	0.694444444	0.617532468	0.833333333	0.772727273	0.670798898
CG	1	1259388	1259482	Teosinte/Maize	Hyper	0.235964912	0.131181319	0.288003663	0.220158687	0.056089744	0.687042125	0.649725275	0	0.288525364	0.717592593	0.316895604	0.068589744	0.47032967	0.109981685	0	0.264041514	0.112637363	0	0.203434066	0.008333333	0.961538462	0.652173913	0.25	0.833333333	0.769230769	0.698717949	0.928571429	0.6	0.980769231	0.487179487	1	NA	0.615384615	0.619047619	0.923076923	0.952380952	0.791666667	0.012820513	0	0	0.863194444	0.827916314	0.782600733	0.858974359	0.909569597	0.643154762	0.915979853	0.527472527	0.80952381	0.95279304	0.924279887
