Type	chr	start	stop	q-value	mean_methylation_difference	CpGs	p_MWU	p_2D_KS	POPA	POPB	Compare
CG	1	209390	209725	2.90E-58	0.718428	20	3.50E-14	4.10E-64	0.77117	0.052741	Landrace/Maize
CG	1	403764	404173	1.30E-57	-0.451792	40	4.90E-14	1.90E-63	0.36637	0.81816	Landrace/Maize
CG	1	12931711	12931864	8.20E-06	0.421164	9	4.10E-14	1.20E-11	0.92036	0.4992	Landrace/Maize
CG	1	23271324	23271523	3.40E-21	0.66703	11	4.00E-14	4.80E-27	0.88703	0.22	Landrace/Maize
CG	1	23699397	23699964	2.50E-17	-0.489142	16	3.90E-14	3.50E-23	0.082114	0.57126	Landrace/Maize
CG	1	28150862	28150994	1.30E-09	0.43668	11	4.70E-14	1.90E-15	0.71297	0.27629	Landrace/Maize
CG	1	29755729	29755930	5.80E-11	0.494337	9	4.50E-14	8.30E-17	0.77678	0.28244	Landrace/Maize
CG	1	33302028	33302160	1.60E-05	0.423813	9	4.20E-14	2.20E-11	0.84516	0.42135	Landrace/Maize
CG	1	55799156	55799240	3.90E-09	-0.404013	8	4.10E-14	5.60E-15	3.65E-01	0.76942	Landrace/Maize
CG	1	92210188	92210341	3.70E-09	0.403877	13	4.30E-14	5.30E-15	0.72521	0.32133	Landrace/Maize
CG	1	106083228	106083455	7.10E-23	-0.737442	8	3.90E-14	1.00E-28	0.041507	0.77895	Landrace/Maize
CG	1	112682609	112682684	2.00E-22	0.748015	8	4.90E-14	2.90E-28	0.86618	0.11817	Landrace/Maize
CG	1	135668406	135669078	1.80E-91	0.527242	58	4.00E-14	2.60E-97	0.57417	0.046931	Landrace/Maize
CG	1	174115759	174115894	1.60E-12	0.505591	10	4.70E-14	2.30E-18	0.51267	0.0070748	Landrace/Maize
CG	1	180687660	180688045	2.50E-27	0.553289	15	4.20E-14	3.60E-33	0.75246	0.19917	Landrace/Maize
CG	1	183531423	183531698	2.50E-04	0.468672	8	4.40E-14	3.60E-10	0.90162	0.43295	Landrace/Maize
CG	1	183857613	183857742	5.90E-11	0.473904	10	4.20E-14	8.50E-17	0.61688	0.14298	Landrace/Maize
CG	1	186736977	186737222	1.10E-10	0.473565	8	4.50E-14	1.50E-16	0.73941	0.26585	Landrace/Maize
