"marker","chr","physical","genetic"
"1_1",1,1e+05,-7.34952
"1_2",1,2e+05,-6.96335
"1_3",1,3e+05,-6.57716
"1_4",1,4e+05,-6.19092
"1_5",1,5e+05,-5.80458
"1_6",1,6e+05,-5.41808
"1_7",1,7e+05,-5.03139
"1_8",1,8e+05,-4.64446
"1_9",1,9e+05,-4.25723
"1_10",1,1e+06,-3.86967
"1_11",1,1100000,-3.48172
"1_12",1,1200000,-3.09333
"1_13",1,1300000,-2.70446
"1_14",1,1400000,-2.31506
"1_15",1,1500000,-1.92509
"1_16",1,1600000,-1.53449
"1_17",1,1700000,-1.14322
"1_18",1,1800000,-0.75123
"1_19",1,1900000,-0.35848
"1_20",1,2e+06,0.0351
"1_21",1,2100000,0.42955
"1_22",1,2200000,0.82495
"1_23",1,2300000,1.22135
"1_24",1,2400000,1.61883
"1_25",1,2500000,2.01745
"1_26",1,2600000,2.41729
"1_27",1,2700000,2.81842
"1_28",1,2800000,3.2209
"1_29",1,2900000,3.62482
"1_30",1,3e+06,4.03023
"1_31",1,3100000,4.43722
"1_32",1,3200000,4.84585
"1_33",1,3300000,5.25619
"1_34",1,3400000,5.66829
"1_35",1,3500000,6.08221
"1_36",1,3600000,6.498
"1_37",1,3700000,6.91571
"1_38",1,3800000,7.33538
"1_39",1,3900000,7.75703
"1_40",1,4e+06,8.1807
"1_41",1,4100000,8.60638
"1_42",1,4200000,9.03407
"1_43",1,4300000,9.46378
"1_44",1,4400000,9.89551
"1_45",1,4500000,10.32924
"1_46",1,4600000,10.76499
"1_47",1,4700000,11.20274
"1_48",1,4800000,11.64251
"1_49",1,4900000,12.08429
"1_50",1,5e+06,12.52807
"1_51",1,5100000,12.97383
"1_52",1,5200000,13.42153
"1_53",1,5300000,13.87111
"1_54",1,5400000,14.3225
"1_55",1,5500000,14.77562
"1_56",1,5600000,15.23035
"1_57",1,5700000,15.68659
"1_58",1,5800000,16.14423
"1_59",1,5900000,16.60315
"1_60",1,6e+06,17.06322
"1_61",1,6100000,17.52432
"1_62",1,6200000,17.9863
"1_63",1,6300000,18.44905
"1_64",1,6400000,18.91243
"1_65",1,6500000,19.3763
"1_66",1,6600000,19.84052
"1_67",1,6700000,20.30494
"1_68",1,6800000,20.76941
"1_69",1,6900000,21.23381
"1_70",1,7e+06,21.69797
"1_71",1,7100000,22.16176
"1_72",1,7200000,22.62502
"1_73",1,7300000,23.08759
"1_74",1,7400000,23.54934
"1_75",1,7500000,24.0101
"1_76",1,7600000,24.46973
"1_77",1,7700000,24.92805
"1_78",1,7800000,25.38493
"1_79",1,7900000,25.8402
"1_80",1,8e+06,26.29372
"1_81",1,8100000,26.74532
"1_82",1,8200000,27.19485
"1_83",1,8300000,27.64218
"1_84",1,8400000,28.08716
"1_85",1,8500000,28.52965
"1_86",1,8600000,28.96951
"1_87",1,8700000,29.40662
"1_88",1,8800000,29.84085
"1_89",1,8900000,30.2721
"1_90",1,9e+06,30.70026
"1_91",1,9100000,31.12522
"1_92",1,9200000,31.54688
"1_93",1,9300000,31.96516
"1_94",1,9400000,32.37993
"1_95",1,9500000,32.79111
"1_96",1,9600000,33.1986
"1_97",1,9700000,33.60235
"1_98",1,9800000,34.00231
"1_99",1,9900000,34.39844
"1_100",1,1e+07,34.79069
"1_101",1,10100000,35.17903
"1_102",1,10200000,35.56344
"1_103",1,10300000,35.94386
"1_104",1,10400000,36.32028
"1_105",1,10500000,36.69268
"1_106",1,10600000,37.06105
"1_107",1,10700000,37.42539
"1_108",1,10800000,37.78569
"1_109",1,10900000,38.14195
"1_110",1,1.1e+07,38.49418
"1_111",1,11100000,38.84236
"1_112",1,11200000,39.18651
"1_113",1,11300000,39.52662
"1_114",1,11400000,39.86269
"1_115",1,11500000,40.19472
"1_116",1,11600000,40.52271
"1_117",1,11700000,40.84666
"1_118",1,11800000,41.16659
"1_119",1,11900000,41.48253
"1_120",1,1.2e+07,41.79452
"1_121",1,12100000,42.10258
"1_122",1,12200000,42.40675
"1_123",1,12300000,42.70708
"1_124",1,12400000,43.0036
"1_125",1,12500000,43.29634
"1_126",1,12600000,43.58537
"1_127",1,12700000,43.87074
"1_128",1,12800000,44.15251
"1_129",1,12900000,44.43075
"1_130",1,1.3e+07,44.70553
"1_131",1,13100000,44.97691
"1_132",1,13200000,45.24495
"1_133",1,13300000,45.50974
"1_134",1,13400000,45.77134
"1_135",1,13500000,46.02982
"1_136",1,13600000,46.28527
"1_137",1,13700000,46.53776
"1_138",1,13800000,46.78736
"1_139",1,13900000,47.03415
"1_140",1,1.4e+07,47.27821
"1_141",1,14100000,47.51962
"1_142",1,14200000,47.75846
"1_143",1,14300000,47.99481
"1_144",1,14400000,48.22876
"1_145",1,14500000,48.46037
"1_146",1,14600000,48.68973
"1_147",1,14700000,48.91693
"1_148",1,14800000,49.14205
"1_149",1,14900000,49.36516
"1_150",1,1.5e+07,49.58634
"1_151",1,15100000,49.80569
"1_152",1,15200000,50.02327
"1_153",1,15300000,50.23916
"1_154",1,15400000,50.45345
"1_155",1,15500000,50.6662
"1_156",1,15600000,50.8775
"1_157",1,15700000,51.08741
"1_158",1,15800000,51.296
"1_159",1,15900000,51.50335
"1_160",1,1.6e+07,51.70952
"1_161",1,16100000,51.91457
"1_162",1,16200000,52.11858
"1_163",1,16300000,52.32159
"1_164",1,16400000,52.52367
"1_165",1,16500000,52.72487
"1_166",1,16600000,52.92525
"1_167",1,16700000,53.12485
"1_168",1,16800000,53.32374
"1_169",1,16900000,53.52195
"1_170",1,1.7e+07,53.71954
"1_171",1,17100000,53.91654
"1_172",1,17200000,54.11301
"1_173",1,17300000,54.30898
"1_174",1,17400000,54.50449
"1_175",1,17500000,54.6996
"1_176",1,17600000,54.89433
"1_177",1,17700000,55.08874
"1_178",1,17800000,55.28285
"1_179",1,17900000,55.47672
"1_180",1,1.8e+07,55.67037
"1_181",1,18100000,55.86385
"1_182",1,18200000,56.05718
"1_183",1,18300000,56.25041
"1_184",1,18400000,56.44354
"1_185",1,18500000,56.63662
"1_186",1,18600000,56.82964
"1_187",1,18700000,57.02262
"1_188",1,18800000,57.21557
"1_189",1,18900000,57.40851
"1_190",1,1.9e+07,57.60145
"1_191",1,19100000,57.7944
"1_192",1,19200000,57.98736
"1_193",1,19300000,58.18036
"1_194",1,19400000,58.37339
"1_195",1,19500000,58.56647
"1_196",1,19600000,58.7596
"1_197",1,19700000,58.95279
"1_198",1,19800000,59.14604
"1_199",1,19900000,59.33937
"1_200",1,2e+07,59.53277
"1_201",1,20100000,59.72625
"1_202",1,20200000,59.91982
"1_203",1,20300000,60.11347
"1_204",1,20400000,60.3072
"1_205",1,20500000,60.50101
"1_206",1,20600000,60.6949
"1_207",1,20700000,60.88888
"1_208",1,20800000,61.08293
"1_209",1,20900000,61.27706
"1_210",1,2.1e+07,61.47126
"1_211",1,21100000,61.66554
"1_212",1,21200000,61.85989
"1_213",1,21300000,62.0543
"1_214",1,21400000,62.24879
"1_215",1,21500000,62.44333
"1_216",1,21600000,62.63794
"1_217",1,21700000,62.8326
"1_218",1,21800000,63.02733
"1_219",1,21900000,63.2221
"1_220",1,2.2e+07,63.41693
"1_221",1,22100000,63.61179
"1_222",1,22200000,63.8067
"1_223",1,22300000,64.00163
"1_224",1,22400000,64.19658
"1_225",1,22500000,64.39155
"1_226",1,22600000,64.58652
"1_227",1,22700000,64.78148
"1_228",1,22800000,64.97643
"1_229",1,22900000,65.17136
"1_230",1,2.3e+07,65.36626
"1_231",1,23100000,65.56112
"1_232",1,23200000,65.75592
"1_233",1,23300000,65.95066
"1_234",1,23400000,66.14534
"1_235",1,23500000,66.33993
