chr1	start1	end1	chr2	start2	end2	mk	Gene	ID
8	135926998	135933475	8	135937964	135949533	H3K27ac	vgt1	B73
8	135937964	135949533	8	135967747	135971433	H3K27ac	vgt1	B73
8	135937964	135949533	8	136007938	136014014	H3K27ac	vgt1	B73
8	136139545	136143469	8	136173879	136187563	H3K27ac	vgt1	B73
8	135927199	135933527	8	136008210	136013907	H3K4me3	vgt1	B73
8	136008210	136013907	8	136139545	136143389	H3K4me3	vgt1	B73
8	136139545	136143389	8	136173991	136187079	H3K4me3	vgt1	B73
8	135928197	135933603	8	135938424	135941639	H3K4me3	vgt1	TEO
8	135928197	135933603	8	136140196	136142657	H3K4me3	vgt1	TEO
8	135938424	135941639	8	136008755	136012110	H3K4me3	vgt1	TEO
