uid,CHG_AMES-8235,CHG_PI-620767,CHG_PI-620773,CHG_PI-620774,CHG_PI-620784,CHG_PI-620785,CHG_PI-620797,CHG_PI-620819,CHG_PI-620821,CHG_PI-620834,CHG_PI-620842,CHG_PI-620846,CHG_PI-620856,CHG_PI-620859,CHG_PI-620860,CHG_PI-628503,CHG_PI-628514,chr,pos
8_135968501_135968600,0.5,0.666666666666667,NA,NA,NA,0.5,NA,NA,NA,0.5,0.5,0.25,0.444444444444444,0.333333333333333,0.75,NA,NA,8,135968600
8_135968601_135968700,NA,NA,1,1,1,0.5,NA,NA,NA,1,1,1,0.5,NA,NA,NA,NA,8,135968700
8_135968701_135968800,NA,0.75,1,NA,NA,0.818181818181818,0.666666666666667,0.833333333333333,NA,1,NA,1,NA,NA,0.416666666666667,0.666666666666667,NA,8,135968800
8_135968801_135968900,NA,1,1,NA,NA,0.846153846153846,1,1,NA,NA,NA,NA,NA,NA,0.928571428571429,1,NA,8,135968900
8_135968901_135969000,NA,1,0.578947368421053,NA,NA,0.333333333333333,NA,1,NA,NA,1,NA,NA,NA,0.555555555555556,1,1,8,135969000
8_135969001_135969100,NA,NA,0.722222222222222,0.25,1,0.818181818181818,NA,0.466666666666667,NA,0.7,0.875,NA,NA,NA,0.714285714285714,NA,0.9,8,135969100
8_135969101_135969200,0.375,0,0.294117647058824,0.0833333333333333,0.0769230769230769,0.08,NA,0.411764705882353,NA,0.181818181818182,0.25,NA,0,0.259259259259259,0.12,0,0.133333333333333,8,135969200
8_135969201_135969300,0,0,0,0,0,0.0833333333333333,NA,0,NA,0,0,0.25,0,0,0,0,0,8,135969300
8_135969301_135969400,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0.0476190476190476,0,NA,0,8,135969400
8_135969401_135969500,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,0.0909090909090909,8,135969500
8_135969501_135969600,NA,0.166666666666667,NA,0.5,0.25,NA,NA,0.777777777777778,NA,0.166666666666667,0.5,0.375,NA,0.5,NA,NA,0.75,8,135969600
8_135969601_135969700,0.5,0.555555555555556,0.5,1,0.5,NA,NA,1,NA,0.666666666666667,0.571428571428571,0.25,NA,0.5,0.666666666666667,NA,1,8,135969700
8_135969701_135969800,0.733333333333333,0.75,1,0.6875,0.8,NA,1,0.813953488372093,1,0.705882352941177,0.836734693877551,0.5,0.714285714285714,NA,0.708333333333333,NA,0.529411764705882,8,135969800
8_135969801_135969900,0.375,NA,NA,0.5,0.5,NA,NA,0.625,0.75,0.5,0.866666666666667,NA,0.333333333333333,NA,1,NA,1,8,135969900
