chr1	start1	end1	chr2	start2	end2	cA	cB	cAB	p-value	fdr	mk	Gene
3	144962484	144970439	3	144970541	144980823	3055	4254	7	1.96E-09	7.73E-06	H3K27ac	Zm00001d041948
3	144962484	144970439	3	144982067	144988494	3055	1857	7	6.48E-12	4.11E-08	H3K27ac	Zm00001d041948
3	144970541	144980823	3	144982067	144988494	4254	1857	4	7.89E-06	0.009311889	H3K27ac	Zm00001d041948
3	144970541	144980823	3	145230259	145234727	4254	1883	4	8.33E-06	0.009672556	H3K27ac	Zm00001d041948
3	144982067	144988494	3	145238776	145243962	1857	636	4	4.24E-09	1.56E-05	H3K27ac	Zm00001d041948
3	145238776	145243962	5	7235568	7246106	636	1828	3	9.06E-07	0.001767782	H3K27ac	Zm00001d041948
5	212542230	212548505	5	212571858	212588963	1300	6679	5	2.99E-07	0.000690348	H3K27ac	Zm00001d018036
5	212567387	212571823	5	212571858	212588963	872	6679	6	6.14E-10	2.69E-06	H3K27ac	Zm00001d018036
5	212567387	212571823	5	213978875	213996522	872	4791	4	6.43E-07	0.001324779	H3K27ac	Zm00001d018036
5	212571858	212588963	5	212627406	212637592	6679	3698	12	1.15E-14	1.13E-10	H3K27ac	Zm00001d018036
5	212571858	212588963	5	212642252	212644829	6679	1019	4	4.39E-06	0.006146333	H3K27ac	Zm00001d018036
5	212571858	212588963	7	110062979	110065359	6679	334	3	6.31E-06	0.007968419	H3K27ac	Zm00001d018036
5	212627406	212637592	5	212642252	212644829	3698	1019	4	4.28E-07	0.000938923	H3K27ac	Zm00001d018036
5	212627406	212637592	5	212682630	212691146	3698	3144	7	9.15E-10	3.88E-06	H3K27ac	Zm00001d018036
3	144970625	144987926	3	145162452	145164374	3671	178	4	3.04E-09	8.15E-06	H3K4me3	Zm00001d041948
3	144970625	144987926	3	145230464	145242147	3671	1806	9	2.56E-13	1.48E-09	H3K4me3	Zm00001d041948
5	212628727	212636785	5	212683364	212690823	708	1347	4	1.40E-08	3.20E-05	H3K4me3	Zm00001d018036
