Type	chr	start	stop	q-value	mean_methylation_difference	#CpGs	p(MWU)	p(2D KS)	mean_Maize	mean_Lan	Compare	Gene
CG	1	209390	209725	2.90E-58	0.718428	20	3.50E-14	4.10E-64	0.77117	0.052741	landrace/maize	Zm00001d027242
CG	1	23271324	23271523	3.40E-21	0.66703	11	4.00E-14	4.80E-27	0.88703	0.22	landrace/maize	Zm00001d028114
CG	1	23271324	23271523	3.40E-21	0.66703	11	4.00E-14	4.80E-27	0.88703	0.22	landrace/maize	Zm00001d028115
CG	1	23271324	23271523	3.40E-21	0.66703	11	4.00E-14	4.80E-27	0.88703	0.22	landrace/maize	Zm00001d028116
CG	1	33302028	33302160	1.60E-05	0.423813	9	4.20E-14	2.20E-11	0.84516	0.42135	landrace/maize	Zm00001d028396
CG	1	79905443	79905513	4.00E-08	0.486974	6	6.70E-13	5.60E-14	0.64409	0.15712	landrace/maize	Zm00001d029619
CG	1	174115759	174115894	1.70E-12	0.505591	10	4.70E-14	2.30E-18	0.51267	0.0070748	landrace/maize	Zm00001d031026
CG	1	186736977	186737222	1.10E-10	0.473565	8	4.50E-14	1.50E-16	0.73941	0.26585	landrace/maize	Zm00001d031338
CG	1	186738185	186738395	1.60E-15	0.481102	16	3.90E-14	2.20E-21	0.84289	0.36179	landrace/maize	Zm00001d031338
CG	1	199912396	199912510	3.10E-09	0.600802	6	5.20E-14	4.40E-15	0.8846	0.2838	landrace/maize	Zm00001d031730
CG	1	223572835	223572989	2.40E-12	0.567002	8	4.60E-14	3.40E-18	0.8137	0.2467	landrace/maize	Zm00001d032353
CG	2	2482322	2482592	8.20E-05	0.42075	6	1.50E-13	1.20E-10	0.51572	0.094972	landrace/maize	Zm00001d001887
CG	2	17681642	17681803	6.90E-05	0.405797	9	3.00E-07	9.80E-11	0.49623	0.090433	landrace/maize	Zm00001d002639
CG	2	37321751	37321963	3.10E-11	0.41258	12	4.50E-14	4.40E-17	0.54335	0.13077	landrace/maize	Zm00001d003237
CG	2	44201490	44201676	6.60E-09	0.454821	12	4.20E-14	9.30E-15	0.86294	0.40812	landrace/maize	Zm00001d003430
CG	2	53861787	53861979	3.70E-19	0.611742	10	4.30E-14	5.20E-25	0.85133	0.23958	landrace/maize	Zm00001d003678
CG	2	53861787	53861979	3.70E-19	0.611742	10	4.30E-14	5.20E-25	0.85133	0.23958	landrace/maize	Zm00001d003679
CG	2	117110240	117110672	1.00E-25	0.583984	17	4.00E-14	1.50E-31	0.91535	0.33137	landrace/maize	Zm00001d004541
CG	2	144887054	144887587	1.20E-44	0.511224	34	4.00E-14	1.70E-50	0.78178	0.27055	landrace/maize	Zm00001d004855
CG	2	203859434	203860003	6.20E-103	0.554523	34	2.70E-14	8.70E-109	0.55968	0.0051564	landrace/maize	Zm00001d006293
CG	2	216663974	216664094	0.00013	0.492185	6	4.10E-13	1.80E-10	0.89334	0.40115	landrace/maize	Zm00001d006786
CG	2	216663974	216664094	0.00013	0.492185	6	4.10E-13	1.80E-10	0.89334	0.40115	landrace/maize	Zm00001d006787
CG	2	225124144	225124447	3.00E-05	0.434421	8	2.50E-12	4.20E-11	0.84715	0.41273	landrace/maize	Zm00001d007223
CG	2	225124144	225124447	3.00E-05	0.434421	8	2.50E-12	4.20E-11	0.84715	0.41273	landrace/maize	Zm00001d007224
CG	2	225335682	225336188	5.80E-33	0.555726	15	4.00E-14	8.20E-39	0.72134	0.16562	landrace/maize	Zm00001d007233
CG	2	225335682	225336188	5.80E-33	0.555726	15	4.00E-14	8.20E-39	0.72134	0.16562	landrace/maize	Zm00001d007234
CG	2	226994561	226994848	7.00E-20	0.45842	16	4.50E-14	9.80E-26	0.60028	0.14186	landrace/maize	Zm00001d007295
CG	2	229625794	229626238	1.10E-47	0.511314	24	4.50E-14	1.50E-53	0.68475	0.17344	landrace/maize	Zm00001d007357
CG	3	6185045	6185343	4.60E-06	0.464301	6	3.60E-13	6.40E-12	0.5304	0.066096	landrace/maize	Zm00001d039511
CG	3	57177757	57178046	2.90E-08	0.519963	6	4.40E-14	4.10E-14	0.61005	0.090088	landrace/maize	Zm00001d040671
CG	3	57177757	57178046	2.90E-08	0.519963	6	4.40E-14	4.10E-14	0.61005	0.090088	landrace/maize	Zm00001d040672
CG	3	126130983	126131183	7.00E-07	-0.400885	12	5.00E-14	9.90E-13	0.045142	0.44603	landrace/maize	Zm00001d041536
CG	3	189131053	189131316	7.60E-17	0.554246	13	3.70E-14	1.10E-22	0.88893	0.33469	landrace/maize	Zm00001d043094
CG	4	10208941	10209041	4.60E-06	-0.490885	6	2.20E-08	6.50E-12	0.34749	0.83837	landrace/maize	Zm00001d048942
CG	4	15081584	15081762	9.20E-18	0.44437	10	3.90E-14	1.30E-23	0.50479	0.060419	landrace/maize	Zm00001d049079
CG	4	40262759	40263137	6.70E-37	0.652308	17	4.70E-14	9.50E-43	0.65935	0.0070455	landrace/maize	Zm00001d049687
CG	4	46655684	46655815	3.40E-15	0.644549	6	4.10E-14	4.80E-21	0.76311	0.11856	landrace/maize	Zm00001d049825
CG	4	52872588	52872786	0.00015	0.493597	7	4.50E-14	2.20E-10	0.66147	0.16788	landrace/maize	Zm00001d049922
CG	4	168774738	168774849	5.20E-11	0.612383	6	4.60E-14	7.30E-17	0.76432	0.15193	landrace/maize	Zm00001d051748
CG	4	168774738	168774849	5.20E-11	0.612383	6	4.60E-14	7.30E-17	0.76432	0.15193	landrace/maize	Zm00001d051749
CG	4	179290798	179290923	3.60E-05	0.429447	8	4.60E-14	5.10E-11	0.75518	0.32573	landrace/maize	Zm00001d052091
CG	4	225039414	225039600	6.90E-21	0.468652	12	4.50E-14	9.70E-27	0.66132	0.19267	landrace/maize	Zm00001d053301
CG	5	1653063	1653161	1.20E-10	0.511065	8	4.30E-14	1.70E-16	0.724	0.21294	landrace/maize	Zm00001d012892
CG	5	1653423	1653576	4.80E-15	0.499144	8	4.30E-14	6.70E-21	0.59759	0.098451	landrace/maize	Zm00001d012892
CG	5	23539381	23539601	6.30E-09	0.401977	12	4.50E-14	8.80E-15	0.81623	0.41425	landrace/maize	Zm00001d013873
CG	5	86309728	86309958	1.90E-06	0.435685	9	4.80E-14	2.60E-12	0.81285	0.37717	landrace/maize	Zm00001d015362
CG	5	121338937	121339039	0.026	0.403406	9	2.20E-12	3.70E-08	0.88577	0.48236	landrace/maize	Zm00001d015802
CG	5	127466162	127466356	2.30E-14	0.451941	13	4.20E-14	3.20E-20	0.56744	0.11549	landrace/maize	Zm00001d015871
CG	5	127466162	127466356	2.30E-14	0.451941	13	4.20E-14	3.20E-20	0.56744	0.11549	landrace/maize	Zm00001d015872
CG	5	128733898	128734031	5.90E-25	-0.598428	15	3.70E-14	8.30E-31	0.04517	0.6436	landrace/maize	Zm00001d015884
CG	5	166583675	166584329	1.50E-40	0.575711	22	3.70E-14	2.10E-46	0.65349	0.077779	landrace/maize	Zm00001d016532
CG	5	166583675	166584329	1.50E-40	0.575711	22	3.70E-14	2.10E-46	0.65349	0.077779	landrace/maize	Zm00001d016533
CG	5	191474988	191475094	0.00029	0.474901	6	1.40E-10	4.00E-10	0.68514	0.21024	landrace/maize	Zm00001d017276
CG	5	191540990	191541114	1.80E-14	0.483212	9	4.20E-14	2.50E-20	0.56569	0.082481	landrace/maize	Zm00001d017279
CG	5	203834309	203834376	2.60E-14	0.722225	6	4.30E-14	3.70E-20	0.86769	0.14547	landrace/maize	Zm00001d017675
CG	5	214792411	214792556	6.10E-10	-0.412833	9	8.60E-12	8.60E-16	0.33368	0.74652	landrace/maize	Zm00001d018127
CG	6	6265712	6265936	7.40E-07	0.421976	8	5.90E-14	1.00E-12	0.6374	0.21543	landrace/maize	Zm00001d035124
CG	6	6265712	6265936	7.40E-07	0.421976	8	5.90E-14	1.00E-12	0.6374	0.21543	landrace/maize	Zm00001d035125
CG	6	61207853	61208769	1.10E-82	0.45261	54	5.00E-14	1.60E-88	0.70916	0.25655	landrace/maize	Zm00001d035934
CG	6	96572051	96572406	1.00E-65	0.656106	26	4.80E-14	1.40E-71	0.79162	0.13552	landrace/maize	Zm00001d036655
CG	6	96572051	96572406	1.00E-65	0.656106	26	4.80E-14	1.40E-71	0.79162	0.13552	landrace/maize	Zm00001d036656
