Chr	Start	End	Comparison	JRIAL2A	JRIAL2B	JRIAL2C	JRIAL2D	JRIAL2E	JRIAL2F	JRIAL2G	JRIAL2H	JRIAL2I	JRIAL2J	JRIAL2K	JRIAL2L	JRIAL2M	JRIAL2N	JRIAL2O	JRIAL2P	JRIAL2Q	JRIAL2R	JRIAL2S	JRIAL2T	AMES-8235	PI-620767	PI-620773	PI-620774	PI-620784	PI-620785	PI-620797	PI-620819	PI-620821	PI-620834	PI-620842	PI-620846	PI-620856	PI-620859	PI-620860	PI-628503	PI-628514	A632	B37	B73	B97	CML322	HP301	IL14	LH123HT	LH82	Mo17	Oh43	P39	PHZ51	Tx303
1	47058	47294	Teosinte/Maize	0.546413971	0.930927844	0.892073432	0.587690022	0.774084774	0.005494505	0.14988158	0.742487916	0.915174628	0.621428571	0.766208138	0.703352405	0.297657699	0.619023765	0.919245012	0.66561472	0.779534553	0.556246946	0.331369872	0.166666667	NA	0.319444444	0	0	NA	0.680555556	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	0.023809524	0	0	0.018181818	0	0.011268556	0	0	0.008333333	0.03125	0.915891576	0	0
1	47767	49104	Teosinte/Maize	0.538784394	0.912894142	0.898886204	0.306594523	0.70523082	0.187168427	0.147194187	0.615400338	0.804730475	0.471618785	0.690219949	0.656610858	0.441842135	0.662970793	0.898974741	0.666996369	0.560750636	0.46654332	0.334435651	0.084579439	0.0375	0.162273902	0.045774648	0.042352941	0.019379845	0.537381522	0.925636096	0.011904762	0.013157895	0.046666667	0.010040161	0.002941176	0	0.055687831	0.035714286	0.027462121	0.009333333	0.019988126	0.031449893	0.002747253	0	0.002595899	0.016220072	0.012499792	0.032319311	0.013188976	0.01699382	0.000637755	0.855183061	0.003478261	0.01497206
1	48405	48992	Teosinte/Landrace	0.503914416	0.912132849	0.892275681	0.23652473	0.726758328	0.279447181	0.112664178	0.616501962	0.779612174	0.43948606	0.774050984	0.726778304	0.432136015	0.643298713	0.913801578	0.604825175	0.326019431	0.505031834	0.302032587	0.028409091	0.041666667	0.067295597	0	0.017307692	0	0.539817212	0.941677269	0.027777778	0.017241379	0.087301587	0.016666667	0.005263158	0	0.018095238	0.035714286	0.013888889	0.017948718	0.039336219	0.037933818	0	0	0.00345679	0.001915709	0.011945813	0.043438697	0.018137255	0.03422619	0.00125	0.868286213	0	0.001644737
1	173111	177287	Teosinte/Maize	0.907216931	0.893702507	0.903104461	0.637601412	0.528230988	0.098177878	0.901658147	0.885756462	0.91314567	0.785326257	0.639245984	0.814095508	0.868589895	0.836363109	0.891261715	0.917038204	0.538683022	0.918198042	0.753237328	0.216570764	0.221014493	0.19499179	0.573089454	0.366728101	0.368694679	0.869100929	0.340599051	0.552081462	0.131616632	0.1762394	0.628371194	0.045224317	0.150309789	0.177605174	0.560111502	0.613849033	0.465370765	0.009419431	0.809896525	0.180725609	0.034280062	0.013200401	0.843863255	0.19447638	0.015374569	0.005186852	0.884975188	0.22956963	0.837155032	0.022873501	0.004623126
1	173817	174692	Teosinte/Landrace	0.918432792	0.921003641	0.870103284	0.564106025	0.424331008	0.00177305	0.926770392	0.870372103	0.941553797	0.851025939	0.562341985	0.828558628	0.885347329	0.883984059	0.910242652	0.920143447	0.499665597	0.912660205	0.711204526	0.013204524	0.091111111	0.005952381	0.420342039	0.376245274	0.473676175	0.865299233	0.09540518	0.341791045	0.00462963	0.087606838	0.534342978	0.027162014	0.012195122	0.007246377	0.341435185	0.404265873	0.285415229	0.002150538	0.825125313	0.052116284	0.016694034	0.027832491	0.848173701	0.015557995	0.002105263	0	0.875384955	0.003205128	0.882810047	0.020321869	0.007511861
1	175218	176025	Teosinte/Landrace	0.922235906	0.885385878	0.935680213	0.55260232	0.307073643	0.029111438	0.936234098	0.894521429	0.940804985	0.830638228	0.627883056	0.882006315	0.9251294	0.821882642	0.921184028	0.935912698	0.539458247	0.940658505	0.698151247	0.018041237	0.049242424	0	0.590480805	0.379032258	0.347072072	0.90805734	0.049561404	0.524863388	0.003164557	0	0.672509618	0.003448276	0.011111111	0.042519154	0.757184179	0.640064103	0.54568668	0.016838488	0.860411961	0.013155868	0.003076923	0.016120274	0.890244333	0.037719672	0.009572901	0.00952381	0.913401563	0.022497848	0.856853282	0.018125	0
1	178394	178712	Teosinte/Maize	0.925160765	0.944404762	0.939641489	0.911265718	0.867857143	0.894923372	0.946489899	0.926689929	0.937137021	0.824685847	0.901970443	0.896387521	0.006666667	0.936835512	0.896138727	0.858492561	0.918537415	0.929194369	0.937783447	0.81239418	0.880952381	0.766666667	0.441666667	0.3	0.5	0.806451613	NA	0.954545455	0.857142857	0.5	0.948275862	0.9375	NA	0.777777778	0.288461538	NA	0.708333333	0.169920635	0.102777778	0.896022462	0.021428571	0.016666667	0.006388889	0.754231627	0.866028912	0.006666667	0.903133718	0.711320971	0.85	0.016666667	0.03457191
1	180290	182241	Teosinte/Maize	0.909349053	0.90153211	0.91477366	0.899336708	0.907984608	0.252080588	0.913650381	0.878626777	0.925768824	0.769342917	0.893116594	0.851934908	0.865362977	0.774797908	0.917674046	0.71176939	0.416661985	0.902556401	0.879358403	0.835451128	0.856884058	0.822888889	0.232526882	0.0234375	0.160569106	0.931988536	0.934082892	0.544871795	0.491666667	0.391534392	0.891542659	0.824983233	0.779279279	0.845689655	0.37979798	0.887254902	0.353010204	0.028525466	0.011706349	0.839914308	0.013703704	0.009071972	0.033323589	0.760219429	0.784903942	0.014689159	0.913118428	0.730562657	0.851960784	0.026992401	0.013131313
1	209297	210608	Teosinte/Maize	0.786930759	0.498878955	0.851646917	0.849500291	0.503648232	0.601535512	0.807281887	0.811111663	0.726745998	0.802454862	0.68185372	0.444118443	0.882926479	0.631774763	0.693348705	0.868346501	0.81003006	0.871622733	0.605261201	0.756478203	0.22296627	0.514367816	0.29929972	0.339732143	0.185185185	0.298353909	0.13452381	0.362032138	0.450840798	0.249114064	0.351449275	0.177672956	0.175	0.181185003	0.436507937	0.594509232	0.22	0.003818182	0	0.016	0.00634058	0.011273703	0.006471936	0.006412983	0.008986928	0.007428571	0.437482333	0.020433547	0	0	0.00974026
1	209391	209724	Landrace/Maize	0.608553792	0.620991046	0.795385068	0.774479545	0.661287478	0.678083028	0.72808642	0.761064269	0.650456745	0.68442029	0.707609058	0.642620651	0.887254902	0.671722516	0.730545689	0.824904073	0.770760399	0.826566043	0.776005592	0.709434684	0.608095238	0.783333333	0.614718615	0.626984127	0.5	0.538461538	0.598484848	0.4	0.753884712	0.670779221	0.677777778	0.456140351	0.388888889	0.513644689	0.766666667	0.680070547	0.411764706	0	0	0	0.025641026	0	0	0.002849003	0.023809524	0	0.293083504	0	0	0	0
1	210137	210457	Teosinte/Landrace	0.833268398	0.400332112	0.940285714	0.908698413	0.474153056	0.543772884	0.873808636	0.874501965	0.807805136	0.914015873	0.62106216	0.287846154	0.939285714	0.643709846	0.652963148	0.928412405	0.856555556	0.896670258	0.511053724	0.819835028	0.008	0.205238095	0.013333333	0.036231884	0.018518519	0	0.010989011	0.286095238	0.220634921	0	0	0.02173913	NA	0.013	0	0.438	0.010526316	0	0	0	0	0	0	0	0.003333333	0	0.535857143	0	0	0	0
1	211030	211979	Teosinte/Maize	0.802725359	0.481119296	0.89936051	0.921568611	0.431103213	0.571012762	0.901224216	0.891470464	0.873782878	0.838107011	0.839399871	0.520932643	0.863887024	0.672774415	0.646101588	0.881379724	0.915355398	0.896000321	0.496515688	0.802906613	0.021505376	0.348113208	0	0.145833333	0.018518519	0.020833333	0.192307692	0.285271318	0.035714286	0.005	0.1	0.023809524	0	0.225177305	0	0.68030303	0	0.001610306	0.005555556	0	0.013059163	0.008503911	0.003914141	0.010877742	0.013841714	0.053733766	0.507749576	0.012664588	0.005092593	0.00621118	0.001811594
1	212399	214060	Teosinte/Maize	0.885203633	0.869868161	0.892819324	0.879264459	0.762990907	0.700932879	0.898180784	0.871082791	0.891307737	0.851959486	0.887095969	0.696593886	0.922390837	0.735356743	0.795705536	0.904869756	0.912414112	0.911143268	0.683699838	0.883553491	0.301911469	0.579080563	0.386486486	0.626484018	0.311666667	0.23734564	0.638182773	0.649816103	0.401716501	0.331552239	0.431229016	0.569528281	0.484126984	0.487436677	0.762946429	0.78042328	0.362068966	0.384360738	0.336464471	0.026041667	0.005115758	0.428814589	0.109150293	0.438435701	0.444428041	0.374582088	0.503400539	0.01	0.517763044	0	0.450623583
