Chr_D	Start_D	End_D	Context	Comparison	Gene_D	Gene_D	Gene_D	Gene	Bin	Overlap_bp	POPA-POPB
1	209303	209725	CG	Teosinte/Maize	1	209262	209761	Zm00001d027242	bin22	422	0.856894
1	210119	210619	CG	Teosinte/Maize	1	210263	210757	Zm00001d027242	bin20	356	0.687657
1	214744	215498	CG	Teosinte/Maize	1	214903	215402	Zm00001d027244	bin26	499	0.625935
1	1028577	1028804	CG	Teosinte/Maize	1	1028388	1028887	Zm00001d027267	bin4	227	-0.483075
1	1235250	1235303	CG	Teosinte/Maize	1	1234960	1235459	Zm00001d027276	bin3	53	-0.446108
1	1920869	1922000	CG	Teosinte/Maize	1	1921178	1921677	Zm00001d027289	bin10	499	0.618999
1	2022624	2023008	CG	Teosinte/Maize	1	2022747	2023246	Zm00001d027293	bin29	261	0.429621
1	2774255	2774852	CG	Teosinte/Maize	1	2774398	2774601	Zm00001d027312	bin12	203	0.566267
1	3486420	3486817	CG	Teosinte/Maize	1	3486504	3487003	Zm00001d027352	bin5	313	-0.428215
1	4404097	4404253	CG	Teosinte/Maize	1	4403727	4404226	Zm00001d027400	bin23	129	-0.640519
1	4424644	4424880	CG	Teosinte/Maize	1	4424545	4424765	Zm00001d027401	bin13	121	-0.581788
1	4734958	4735605	CG	Teosinte/Maize	1	4735121	4736180	Zm00001d027412	bin11	484	-0.455807
1	5703052	5703244	CG	Teosinte/Maize	1	5702773	5703272	Zm00001d027457	bin3	192	-0.603508
1	8057438	8057723	CG	Teosinte/Maize	1	8057277	8057776	Zm00001d027551	bin26	285	0.712109
1	8303347	8303453	CG	Teosinte/Maize	1	8303121	8303599	Zm00001d027572	bin11	106	-0.406153
1	12104450	12104738	CG	Teosinte/Maize	1	12104472	12104601	Zm00001d027719	bin14	129	-0.448997
1	14029416	14029910	CG	Teosinte/Maize	1	14028918	14030642	Zm00001d027807	bin11	494	-0.547573
1	14206620	14207233	CG	Teosinte/Maize	1	14206681	14207180	Zm00001d027809	bin23	499	0.497376
1	15501892	15502025	CG	Teosinte/Maize	1	15501634	15502133	Zm00001d027859	bin22	133	0.745086
1	18466667	18467347	CG	Teosinte/Maize	1	18466792	18467291	Zm00001d027963	bin30	499	-0.427705
1	20531385	20531849	CG	Teosinte/Maize	1	20531457	20531956	Zm00001d028020	bin7	392	0.411917
1	21185990	21186169	CG	Teosinte/Maize	1	21185877	21186376	Zm00001d028038	bin8	179	0.464421
1	22599097	22599212	CG	Teosinte/Maize	1	22599056	22599555	Zm00001d028088	bin6	115	0.405047
1	23119342	23119514	CG	Teosinte/Maize	1	23119395	23119894	Zm00001d028110	bin5	119	0.448324
1	23121918	23122033	CG	Teosinte/Maize	1	23121965	23122464	Zm00001d028111	bin6	68	-0.476165
1	23270067	23270812	CG	Teosinte/Maize	1	23270225	23270724	Zm00001d028114	bin22	499	0.807221
1	23270841	23271159	CG	Teosinte/Maize	1	23270725	23271224	Zm00001d028114	bin23	318	0.506841
1	25775385	25775689	CG	Teosinte/Maize	1	25775385	25775884	Zm00001d028189	bin7	304	0.604137
1	27256889	27257110	CG	Teosinte/Maize	1	27256288	27257280	Zm00001d028225	bin11	221	-0.491478
